indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2009,,,
3170Y,,80.0,3.0,1.0,,7.2,0.0,,1.0,0.0,16.0,,222.0,73.0,0.0,49.8,9.0,12.0,0.7,5.1,9.0,10.0,01-01-2010,,,
3170Y,,,,,,,,,,,,,,,,,6.0,,,,,,01-01-2011,,,
3170Y,,70.0,0.0,-2.7,,3.1,0.0,,0.0,0.0,3.0,,154.0,62.0,0.0,4.8,6.0,30.0,4.4,5.1,12.9,2.0,01-01-2012,,,
3170Y,,77.0,2.0,0.6,,7.9,0.0,,0.0,0.0,11.0,,200.0,72.0,0.0,26.4,8.0,15.0,2.1,5.6,10.5,7.0,01-01-2013,,,
3170Y,,79.0,2.0,3.1,,10.0,0.0,,0.0,0.0,16.0,,224.0,84.0,0.0,61.0,9.0,5.0,7.6,7.3,11.4,13.0,01-01-2014,,,
3170Y,,69.0,1.0,-2.5,,9.1,0.0,,0.0,0.0,6.0,,160.0,60.0,0.0,17.8,6.0,26.0,4.3,5.0,12.5,5.0,01-01-2015,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2016,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2017,,,
3170Y,,76.0,0.0,0.1,,7.4,0.0,,2.0,0.0,9.0,,164.0,73.0,0.0,51.2,7.0,19.0,4.7,6.1,12.1,6.0,01-01-2018,,,
3170Y,,65.0,1.0,-3.2,,6.9,0.0,,0.0,0.0,6.0,,162.0,57.0,0.0,16.6,7.0,27.0,5.6,4.9,12.9,3.0,01-01-2019,,,
3170Y,,75.0,3.0,0.9,,10.5,0.0,,0.0,0.0,10.0,,205.0,74.0,0.0,13.2,9.0,14.0,5.9,6.3,11.7,3.0,01-01-2020,,,
3170Y,,79.0,2.0,-2.4,,8.6,0.0,,,0.0,,,185.0,66.0,,,8.0,20.0,0.8,3.0,8.4,,01-01-2021,,,
3170Y,,65.0,1.0,-2.5,,2.8,0.0,,0.0,0.0,3.0,,136.0,58.0,0.0,9.8,5.0,24.0,7.7,5.6,13.7,2.0,01-01-2022,4.0,19.0,8.0
3170Y,,71.0,2.0,-0.7,,8.2,0.0,,0.0,0.0,9.0,,198.0,68.0,0.0,17.0,8.0,19.0,6.2,5.4,11.4,3.0,01-01-2023,4.0,12.0,15.0
3170Y,,81.0,1.0,2.7,,11.7,0.0,,1.0,0.0,14.0,,162.0,89.0,0.0,50.8,6.0,7.0,7.6,7.8,12.8,9.0,01-01-2024,13.0,4.0,14.0
3170Y,,66.0,1.0,0.4,,7.1,0.0,,1.0,0.0,8.0,,203.0,66.0,0.0,28.6,9.0,16.0,5.3,6.8,13.2,4.0,01-02-2009,,,
3170Y,,74.0,5.0,1.7,,9.1,0.0,,2.0,0.0,16.0,,270.0,74.0,0.0,75.4,11.0,10.0,2.6,6.1,10.5,12.0,01-02-2010,,,
3170Y,,67.0,0.0,0.2,,6.9,0.0,,0.0,0.0,6.0,,193.0,70.0,0.0,22.4,4.0,16.0,8.2,7.4,14.5,6.0,01-02-2011,,,
3170Y,,46.0,5.0,-4.9,,2.0,0.0,,0.0,0.0,2.0,,238.0,39.0,0.0,1.4,11.0,25.0,4.4,4.1,12.9,1.0,01-02-2012,,,
