indicativo,p_max,glo,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3194U,,20193.0,73.0,1.0,8.3,,13.1,0.0,,5.0,0.0,14.0,,106.0,104.0,1.0,135.8,4.0,0.0,11.7,12.3,16.2,11.0,01-11-2006,,,
3194U,,30440.0,56.0,0.0,1.0,,6.1,0.0,,2.0,0.0,2.0,,92.0,62.0,0.0,44.2,3.0,9.0,7.4,8.8,16.6,2.0,01-11-2007,,,
3194U,,27928.0,,,,,,,,,,,,,,,,,,,,,,01-11-2008,,,
3194U,,25200.0,,,,,,,,,,,,,,,,6.0,,,,,,01-11-2009,,,
3194U,,24713.0,66.0,,3.4,,7.8,0.0,,0.0,,11.0,,,72.0,0.0,27.8,6.0,5.0,3.1,8.5,13.5,6.0,01-11-2010,,,
3194U,,20494.0,71.0,,6.2,,12.2,0.0,,2.0,,11.0,,,89.0,0.0,43.5,3.0,1.0,10.6,10.6,14.9,7.0,01-11-2011,,,
3194U,,21485.0,71.0,1.0,5.0,,10.5,0.0,,3.0,0.0,12.0,,170.0,82.0,0.0,65.4,7.0,1.0,7.8,8.8,12.6,7.0,01-11-2012,,,
3194U,,27871.0,56.0,,3.1,,14.0,0.0,,0.0,,6.0,,,65.0,0.0,11.0,,9.0,6.8,9.1,15.1,2.0,01-11-2013,,,
3194U,,23600.0,,,,,,,,,,,,,86.0,,,,,,,,,01-11-2014,,,
3194U,,28244.0,59.0,1.0,4.9,,13.6,0.0,,0.0,0.0,5.0,,100.0,78.0,0.0,13.6,4.0,4.0,9.1,11.4,17.8,2.0,01-11-2015,,,
3194U,,23709.0,65.0,,3.9,,9.6,0.0,,2.0,,14.0,,,73.0,0.0,57.6,,1.0,5.4,8.9,13.9,6.0,01-11-2016,,,
3194U,,31329.0,53.0,0.0,2.3,,10.5,0.0,,0.0,0.0,5.0,,93.0,59.0,0.0,8.9,4.0,10.0,8.1,9.4,16.4,2.0,01-11-2017,,,
3194U,,23195.0,67.0,1.0,5.7,,11.5,0.0,,2.0,0.0,18.0,,143.0,81.0,0.0,59.6,6.0,2.0,8.9,10.1,14.4,12.0,01-11-2018,,,
3194U,,22824.0,63.0,,5.5,,14.1,0.0,,0.0,,16.0,,,75.0,0.0,39.7,5.0,2.0,7.5,9.4,13.3,12.0,01-11-2019,,,
3194U,,22733.0,81.0,,6.0,,11.5,0.0,,2.0,,12.0,,,106.0,0.0,56.4,,1.0,11.1,11.0,15.9,9.0,01-11-2020,,,
3194U,,28695.0,,,,,,,,,,,,,,,,,,,,,,01-11-2021,3.0,12.0,15.0
3194U,,24430.0,,,,,,,,,,,,,,,,,,,,,,01-11-2022,13.0,3.0,14.0
3194U,,25439.0,,,,,,,,1.0,,10.0,,,,1.0,66.9,0.0,,,,,4.0,01-11-2023,8.0,7.0,15.0
3194U,,24822.0,,,,,,,,0.0,,8.0,,,,0.0,19.0,0.0,,,,,4.0,01-11-2024,8.0,6.0,16.0
3194U,,21382.0,68.0,0.0,-1.9,,4.2,0.0,,0.0,0.0,5.0,,77.0,56.0,0.0,16.8,3.0,21.0,3.5,3.9,9.6,4.0,01-12-2001,,,
3194U,,16453.0,73.0,3.0,4.9,,12.3,0.0,,3.0,0.0,15.0,,137.0,83.0,0.0,77.0,6.0,2.0,6.7,8.5,12.0,11.0,01-12-2002,,,
3194U,,20108.0,71.0,2.0,1.9,,9.0,0.0,,2.0,0.0,9.0,,109.0,71.0,0.0,50.7,5.0,9.0,7.3,6.6,11.3,8.0,01-12-2003,,,
3194U,,20600.0,,,,,,,,,,,,159.0,,,,7.0,,,,,,01-12-2004,,,
3194U,,22873.0,65.0,0.0,0.7,,8.4,0.0,,0.0,0.0,17.0,,113.0,63.0,0.0,7.3,5.0,16.0,7.8,6.1,11.5,1.0,01-12-2005,,,
3194U,,22628.0,65.0,1.0,1.6,,10.3,0.0,,1.0,0.0,5.0,,99.0,65.0,0.0,26.1,4.0,16.0,7.3,6.5,11.5,3.0,01-12-2006,,,
3194U,,22409.0,,,,,,,,,,,,,,,,,,,,,,01-12-2007,,,
3194U,,19027.0,,,,,,,,,,,,,,,,,,,,,,01-12-2008,,,
3194U,,17350.0,,,,,,,,,,,,,,,,6.0,,,,,,01-12-2009,,,
3194U,,19534.0,,,,,,,,,,,,,67.0,,,4.0,,,,,,01-12-2010,,,
3194U,,23661.0,68.0,1.0,0.8,,5.9,0.0,,0.0,0.0,5.0,,91.0,64.0,0.0,6.0,4.0,15.0,4.7,6.5,12.1,3.0,01-12-2011,,,
3194U,,19596.0,73.0,1.0,1.2,,8.6,0.0,,0.0,0.0,12.0,,94.0,68.0,0.0,8.4,5.0,15.0,3.5,5.7,10.1,4.0,01-12-2012,,,
3194U,,23663.0,60.0,,-0.8,,7.5,0.0,,1.0,,7.0,,,54.0,0.0,38.6,7.0,20.0,7.4,5.6,11.9,4.0,01-12-2013,,,
3194U,,24927.0,,,,,,,,,,,,,58.0,,,,,,,,,01-12-2014,,,
3194U,,21162.0,63.0,0.0,2.8,,7.4,0.0,,0.0,0.0,3.0,,68.0,67.0,0.0,2.2,3.0,4.0,8.6,8.6,14.3,1.0,01-12-2015,,,
3194U,,21487.0,66.0,,2.5,,9.0,0.0,,1.0,,8.0,,,68.0,0.0,35.0,,8.0,8.0,7.7,12.9,7.0,01-12-2016,,,
3194U,,22185.0,59.0,4.0,0.3,,8.9,0.0,,1.0,0.0,6.0,,143.0,56.0,0.0,19.9,6.0,18.0,6.1,6.1,11.8,3.0,01-12-2017,,,
3194U,,22248.0,66.0,1.0,1.3,,5.8,0.0,,0.0,0.0,5.0,,79.0,64.0,0.0,9.4,4.0,10.0,7.8,7.1,12.9,2.0,01-12-2018,,,
3194U,,18418.0,64.0,,3.9,,10.4,0.0,,2.0,,14.0,,,70.0,2.0,85.0,,5.0,6.5,8.5,12.9,8.0,01-12-2019,,,
3194U,,20258.0,,,3.2,,11.5,0.0,,0.0,,14.0,,,81.0,0.0,20.9,,8.0,7.3,7.4,11.6,7.0,01-12-2020,,,
3194U,,21594.0,,,,,,,,,,,,,,,,,,,,,,01-12-2021,8.0,8.0,14.0
3194U,,14572.0,,,,,,,,,,,,,,,,2.0,,,,,,01-12-2022,21.0,3.0,7.0
3194U,,21361.0,,,,,,,,1.0,,8.0,,,,0.0,19.6,0.0,,,,,3.0,01-12-2023,9.0,13.0,9.0
3194U,,25151.0,,,,,,,,0.0,,6.0,,,,0.0,4.2,0.0,,,,,1.0,01-12-2024,5.0,11.0,15.0
