indicativo,p_max,n_cub,n_des,np_100,n_nub,np_001,np_300,p_mes,np_010,fecha,w_med,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,nw_91,ta_min,w_rec,e,nt_00,ti_max,tm_mes,tm_max,q_max,q_mar,q_med,q_min,hr
3111D,,,,0.0,,4.0,0.0,4.2,1.0,01-09-2017,4.0,0.0,8.2,,12.2,0.0,,0.0,,108.0,81.0,0.0,14.5,14.6,20.9,865.5(28),1018.2,860.1,850.5(09),50.0
3111D,,,,,,,,,,01-09-2018,3.0,,,,,,,,,,,,,,,,,,,
3111D,,,,6.0,,8.0,3.0,223.8,8.0,01-09-2019,6.0,1.0,9.1,,14.0,0.0,,0.0,,143.0,102.0,0.0,10.8,15.1,21.0,,,,,62.0
3111D,,,,2.0,,9.0,1.0,90.2,7.0,01-09-2020,,,,,,,,,,,,,,,,,,,,
3111D,,,,4.0,,13.0,0.0,67.2,8.0,01-09-2021,,,,,,,,,,,,,,,,,,,,
3111D,,12.0,5.0,1.0,13.0,7.0,0.0,38.1,6.0,01-09-2022,7.0,2.0,9.4,,15.8,0.0,,0.0,,167.0,101.0,0.0,11.9,15.2,21.0,,,,,60.0
3111D,,6.0,7.0,8.0,17.0,13.0,1.0,208.5,11.0,01-09-2023,9.0,1.0,10.5,,14.2,0.0,,0.0,,195.0,117.0,0.0,11.6,15.2,19.9,,,,,
3111D,,4.0,11.0,1.0,15.0,10.0,0.0,70.7,8.0,01-09-2024,4.0,,7.8,,13.5,0.0,,,,,85.0,0.0,13.8,13.8,19.7,,,,,
3111D,,,,,,,,,,01-10-2005,11.0,,,,,,,,,,97.0,,,,,864.2(01),1019.1,858.7,852.3(30),
3111D,,,,,,,,,,01-10-2006,,,,,,,,,,,,,,,,,,,,
3111D,,,,6.0,,14.0,2.0,188.0,7.0,01-10-2007,8.0,2.0,4.6,,10.0,0.0,,0.0,,184.0,91.0,4.0,6.4,9.4,14.1,867.1(09),1021.9,860.4,851.4(24),79.0
3111D,,,,7.0,,13.0,0.0,149.1,11.0,01-10-2008,7.0,4.0,5.0,,9.9,0.0,,0.0,,212.0,79.0,5.0,-0.1,9.1,13.3,868.7(25),1020.7,859.1,833.8(31),71.0
3111D,,,,,,,,,,01-10-2009,6.0,,,,,,,,,,,,,,,,,,,
3111D,,,,5.0,,9.0,0.0,125.2,9.0,01-10-2010,,,4.1,,10.6,0.0,,,,,69.0,5.0,4.8,8.5,12.9,866.8(27),1016.3,855.2,839.9(31),64.0
3111D,,,,,,,,,,01-10-2011,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-10-2012,9.0,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-10-2013,8.0,7.0,6.9,,12.6,0.0,,0.0,,196.0,96.0,0.0,6.5,10.9,14.8,866.3(27),1019.5,859.3,850.0(22),75.0
3111D,,,,,,,,,,01-10-2014,7.0,,,,,,,,,,92.0,,,,,868.8(22),1018.7,859.6,846.8(12),
3111D,,,,,,,,,,01-10-2015,6.0,,,,,,,,,,,,,,,,,,,
3111D,,,,3.0,,11.0,1.0,90.3,8.0,01-10-2016,5.0,2.0,7.5,,10.5,0.0,,0.0,,130.0,83.0,0.0,7.5,12.3,17.0,870.5(28),1017.6,858.2,842.7(13),63.0
3111D,,,,2.0,,6.0,1.0,59.4,5.0,01-10-2017,5.0,0.0,7.6,,13.5,0.0,,0.0,,128.0,76.0,0.0,9.7,13.4,19.2,870.5(26),1022.8,863.2,850.8(18),53.0
3111D,,,,,,,,,,01-10-2018,,,,,,,,,,,,,,,,,,,,
3111D,,,,8.0,,14.0,1.0,209.4,12.0,01-10-2019,,,6.2,,11.4,0.0,,,,,98.0,1.0,5.0,10.9,15.6,,,,,77.0
3111D,,,,4.0,,13.0,1.0,143.7,10.0,01-10-2020,,,,,,,,,,,,,,,,,,,,
3111D,,5.0,13.0,1.0,13.0,4.0,0.0,25.8,2.0,01-10-2021,,,,,,,,,,,,,,,,,,,,
3111D,,12.0,5.0,4.0,14.0,12.0,0.0,95.7,11.0,01-10-2022,,,8.9,,12.9,0.0,,,,,92.0,0.0,9.9,13.1,17.2,,,,,
3111D,,11.0,9.0,7.0,11.0,17.0,3.0,230.4,14.0,01-10-2023,8.0,1.0,8.7,,14.9,0.0,,0.0,,193.0,97.0,0.0,7.7,12.6,16.5,,,,,70.0
3111D,,15.0,1.0,7.0,15.0,21.0,3.0,240.0,17.0,01-10-2024,7.0,,6.7,,12.2,0.0,,,,,97.0,0.0,6.1,10.5,14.2,,,,,77.0
3111D,,,,,,,,,,01-11-2005,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-11-2006,12.0,5.0,4.6,,9.1,0.0,,0.0,,278.0,,1.0,4.5,7.1,9.5,870.2(11),,860.4,842.7(24),
3111D,,,,1.0,,5.0,1.0,41.4,2.0,01-11-2007,8.0,2.0,0.2,,5.1,0.0,,0.0,,195.0,57.0,15.0,2.7,5.0,9.7,867.9(06),1023.2,859.0,843.3(20),69.0
3111D,,,,,,,,,,01-11-2008,7.0,,,,,,,,,,63.0,,,,,868.4(17),1022.5,857.0,835.6(29),
3111D,,,,,,,,,,01-11-2009,,,,,,,,,,,,,,,,,,,,
3111D,,,,3.0,,14.0,0.0,115.6,12.0,01-11-2010,6.0,3.0,0.2,,7.1,0.0,,0.0,,147.0,66.0,16.0,-1.6,2.8,5.4,870.4(04),1017.2,853.0,832.6(09),88.0
3111D,,,,,,,,,,01-11-2011,11.0,7.0,3.6,,8.7,0.0,,0.0,,275.0,79.0,0.0,2.9,6.1,8.6,870.4(25),1022.1,858.9,841.2(05),85.0
3111D,,,,,,,,,,01-11-2012,8.0,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-11-2013,9.0,8.0,0.0,,8.3,0.0,,0.0,,191.0,70.0,17.0,-0.5,3.0,5.9,867.8(10),1024.1,859.0,847.1(18),87.0
3111D,,,,5.0,,10.0,2.0,152.3,10.0,01-11-2014,10.0,6.0,3.0,,7.8,0.0,,1.0,,233.0,76.0,2.0,3.9,5.9,8.8,864.6(01),1013.5,851.5,827.2(28),84.0
3111D,,,,,,,,,,01-11-2015,,,,,,,,,,,,,,,,,,,,
3111D,,,,6.0,,20.0,2.0,191.5,16.0,01-11-2016,6.0,0.0,1.3,,7.3,0.0,,0.0,,150.0,65.0,9.0,0.1,4.4,7.5,867.6(15),1019.9,856.1,841.6(21),79.0
3111D,,,,1.0,,11.0,0.0,46.9,6.0,01-11-2017,6.0,2.0,1.2,,7.3,0.0,,0.0,,160.0,54.0,12.0,0.9,5.1,9.1,868.3(10),1024.3,859.9,847.3(29),65.0
3111D,,,,,,,,,,01-11-2018,,,,,,,,,,,,,,,,,,,,
3111D,,,,16.0,,28.0,5.0,479.4,27.0,01-11-2019,6.0,3.0,0.7,,9.8,0.0,,0.0,,136.0,74.0,17.0,-0.5,3.1,5.5,,,,,94.0
3111D,,,,,,,,,,01-11-2020,,,,,,,,,,,,,,,,,,,,
3111D,,12.0,8.0,1.0,10.0,10.0,0.0,61.2,9.0,01-11-2021,6.0,,,,,,,,,,,,,,,,,,,
3111D,,14.0,1.0,9.0,15.0,18.0,0.0,176.2,17.0,01-11-2022,8.0,2.0,2.7,,6.2,0.0,,0.0,,170.0,78.0,9.0,2.3,6.3,9.8,,,,,85.0
3111D,,11.0,4.0,6.0,15.0,18.0,0.0,156.2,15.0,01-11-2023,7.0,1.0,3.5,,9.6,0.0,,0.0,,155.0,81.0,3.0,3.9,6.9,10.3,,,,,82.0
3111D,,10.0,5.0,2.0,15.0,9.0,0.0,40.1,5.0,01-11-2024,7.0,3.0,4.0,,7.9,0.0,,0.0,,165.0,77.0,4.0,5.6,7.8,11.6,,,,,
3111D,,,,2.0,,12.0,0.0,52.3,7.0,01-12-2005,10.0,4.0,-1.7,,3.3,0.0,,0.0,,262.0,56.0,23.0,-2.6,1.2,3.9,868.1(22),1024.7,858.4,841.2(02),
3111D,,,,3.0,,13.0,1.0,90.1,8.0,01-12-2006,8.0,3.0,-1.0,,6.8,0.0,,0.0,,208.0,59.0,21.0,-2.2,2.1,5.2,877.1(31),1030.8,863.9,847.5(08),82.0
3111D,,,,,,,,,,01-12-2007,8.0,4.0,-1.0,,2.8,0.0,,0.0,,218.0,58.0,20.0,0.0,2.4,5.7,870.3(06),1029.6,862.9,853.0(17),82.0
3111D,,,,,,,,,,01-12-2008,,,-0.9,,4.1,0.0,,,,,53.0,16.0,-2.7,1.6,4.0,872.8(20),1023.4,857.4,837.7(14),81.0
3111D,,,,,,,,,,01-12-2009,9.0,,,,,,,,,,,,,,,,,,,
3111D,,,,5.0,,16.0,0.0,104.6,13.0,01-12-2010,,,-1.6,,6.3,0.0,,,,,54.0,16.0,-3.1,1.5,4.6,868.5(10),1019.0,853.7,839.6(01),78.0
3111D,,,,,,,,,,01-12-2011,6.0,,,,,,,,,,,,,,,,,,,
3111D,,,,1.0,,16.0,0.0,72.0,13.0,01-12-2012,7.0,1.0,0.0,,5.1,0.0,,0.0,,178.0,61.0,17.0,-0.7,2.8,5.6,871.5(27),1026.2,860.5,846.6(01),82.0
3111D,,,,,,,,,,01-12-2013,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-12-2014,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-12-2015,,,,,,,,,,,,,,,,,,,,
3111D,,,,1.0,,9.0,0.0,34.1,5.0,01-12-2016,6.0,2.0,1.7,,5.8,0.0,,0.0,,151.0,57.0,4.0,0.5,5.1,8.5,875.3(24),1030.1,864.9,851.0(04),68.0
3111D,,,,4.0,,20.0,0.0,144.7,18.0,01-12-2017,5.0,6.0,-1.2,,4.3,0.0,,0.0,,124.0,55.0,24.0,-3.0,1.8,4.8,875.3(21),1028.8,862.0,832.2(11),79.0
3111D,,,,3.0,,9.0,0.0,68.6,8.0,01-12-2018,5.0,1.0,0.2,,4.7,0.0,,0.0,,118.0,,15.0,0.5,4.1,8.0,,,,,
3111D,,,,,,,,,,01-12-2019,7.0,6.0,1.5,,5.7,0.0,,1.0,,168.0,60.0,8.0,2.4,5.1,8.6,,,,,
3111D,,,,,,,,,,01-12-2020,,,,,,,,,,,,,,,,,,,,
3111D,,11.0,7.0,5.0,12.0,16.0,1.0,105.6,9.0,01-12-2021,5.0,1.0,1.7,,6.3,0.0,,0.0,,115.0,64.0,9.0,0.0,4.8,7.9,,,,,
3111D,,14.0,5.0,7.0,12.0,18.0,1.0,171.0,14.0,01-12-2022,8.0,0.0,2.1,,5.9,0.0,,0.0,,202.0,74.0,6.0,0.2,4.4,6.7,,,,,90.0
3111D,,10.0,9.0,2.0,12.0,11.0,1.0,68.9,8.0,01-12-2023,5.0,0.0,0.0,,5.6,0.0,,0.0,,122.0,56.0,18.0,0.3,4.0,7.9,,,,,
3111D,,6.0,9.0,1.0,16.0,13.0,0.0,36.0,6.0,01-12-2024,7.0,1.0,-0.4,,6.0,0.0,,0.0,,172.0,54.0,22.0,-1.0,3.5,7.5,,,,,73.0
