indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3182Y,,80.0,4.0,0.7,,11.5,0.0,,,0.0,,,214.0,74.0,,,9.0,15.0,0.3,4.9,9.1,,01-01-2009,,,
3182Y,,81.0,4.0,1.5,,7.3,0.0,,1.0,0.0,11.0,,192.0,76.0,0.0,52.8,9.0,10.0,1.0,5.3,9.1,9.0,01-01-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2011,,,
3182Y,,70.0,0.0,-2.0,,3.4,0.0,,0.0,0.0,3.0,,115.0,64.0,0.0,2.2,5.0,26.0,5.5,5.6,13.3,1.0,01-01-2012,,,
3182Y,,78.0,2.0,1.3,,8.7,0.0,,0.0,0.0,12.0,,212.0,76.0,0.0,21.6,9.0,9.0,4.4,6.2,11.1,6.0,01-01-2013,,,
3182Y,,79.0,3.0,3.7,,9.9,0.0,,1.0,0.0,18.0,,228.0,87.0,0.0,58.6,10.0,3.0,8.3,7.9,12.1,11.0,01-01-2014,,,
3182Y,,70.0,2.0,-1.8,,10.2,0.0,,0.0,0.0,5.0,,155.0,63.0,0.0,16.4,7.0,25.0,4.4,5.6,13.0,5.0,01-01-2015,,,
3182Y,,,,,,,,,0.0,,10.0,,,93.0,0.0,30.8,9.0,,,,,7.0,01-01-2016,,,
3182Y,,70.0,2.0,-1.3,,8.4,0.0,,1.0,0.0,5.0,,147.0,65.0,0.0,17.2,7.0,23.0,4.2,5.2,11.7,3.0,01-01-2017,,,
3182Y,,,,,,,,,,,,,,,,,6.0,,,,,,01-01-2018,,,
3182Y,,65.0,3.0,-2.4,,7.5,0.0,,0.0,0.0,3.0,,160.0,59.0,0.0,12.8,7.0,25.0,6.0,5.5,13.3,3.0,01-01-2019,,,
3182Y,,77.0,2.0,1.6,,10.1,0.0,,0.0,0.0,12.0,,167.0,78.0,0.0,14.6,7.0,15.0,5.5,6.7,11.8,4.0,01-01-2020,,,
3182Y,,81.0,1.0,-2.3,,10.7,0.0,,,1.0,,,174.0,68.0,,,7.0,20.0,1.1,2.9,8.2,,01-01-2021,,,
3182Y,,67.0,2.0,-1.9,,3.2,0.0,,0.0,0.0,2.0,,111.0,62.0,0.0,7.0,4.0,23.0,8.4,6.0,13.8,2.0,01-01-2022,2.0,17.0,12.0
