indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3182Y,,72.0,3.0,0.0,,9.3,0.0,,0.0,0.0,6.0,,190.0,70.0,0.0,5.8,9.0,15.0,6.9,5.9,11.7,1.0,01-01-2023,4.0,11.0,16.0
3182Y,,82.0,1.0,3.1,,11.7,0.0,,2.0,0.0,12.0,,129.0,92.0,0.0,53.2,6.0,6.0,7.8,8.1,13.0,10.0,01-01-2024,13.0,6.0,12.0
3182Y,,68.0,1.0,0.9,,6.8,0.0,,,0.0,,,172.0,70.0,,,9.0,13.0,6.6,7.5,14.1,,01-02-2009,,,
3182Y,,74.0,5.0,2.3,,8.6,0.0,,2.0,0.0,17.0,,234.0,77.0,0.0,80.0,10.0,10.0,2.5,6.6,10.9,11.0,01-02-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-02-2011,,,
3182Y,,47.0,8.0,-3.5,,2.8,0.0,,0.0,0.0,3.0,,228.0,42.0,0.0,0.8,10.0,23.0,5.1,5.0,13.6,0.0,01-02-2012,,,
3182Y,,66.0,5.0,1.3,,6.8,0.0,,0.0,0.0,10.0,,246.0,68.0,0.0,18.4,12.0,7.0,5.9,6.8,12.2,6.0,01-02-2013,,,
3182Y,,74.0,6.0,2.7,,10.7,0.0,,1.0,0.0,12.0,,273.0,79.0,0.0,26.4,13.0,7.0,5.6,7.4,12.0,6.0,01-02-2014,,,
3182Y,,65.0,4.0,1.4,,7.6,0.0,,0.0,0.0,8.0,,246.0,66.0,0.0,25.2,12.0,9.0,4.4,6.8,12.2,8.0,01-02-2015,,,
3182Y,,69.0,6.0,3.0,,12.4,0.0,,1.0,0.0,10.0,,316.0,79.0,0.0,28.0,14.0,6.0,9.2,8.3,13.5,8.0,01-02-2016,,,
3182Y,,73.0,6.0,3.4,,9.8,0.0,,0.0,0.0,10.0,,231.0,86.0,0.0,38.8,9.0,2.0,8.0,8.8,14.1,8.0,01-02-2017,,,
3182Y,,64.0,1.0,-0.6,,6.2,0.0,,2.0,0.0,7.0,,208.0,61.0,0.0,44.8,10.0,17.0,4.2,5.5,11.5,5.0,01-02-2018,,,
3182Y,,56.0,1.0,-0.2,,3.6,0.0,,0.0,0.0,1.0,,135.0,62.0,0.0,2.2,6.0,17.0,9.4,8.4,17.0,1.0,01-02-2019,,,
3182Y,,72.0,0.0,3.5,,10.3,0.0,,0.0,0.0,1.0,,123.0,93.0,0.0,0.2,5.0,1.0,11.1,10.2,16.8,0.0,01-02-2020,,,
3182Y,,73.0,3.0,5.2,,9.9,0.0,,1.0,0.0,7.0,,207.0,94.0,0.0,33.4,9.0,0.0,10.7,10.5,15.7,5.0,01-02-2021,,,
3182Y,,58.0,0.0,1.0,,7.8,0.0,,0.0,0.0,5.0,,132.0,69.0,0.0,4.6,6.0,11.0,10.9,9.3,17.5,2.0,01-02-2022,7.0,12.0,9.0
3182Y,,56.0,0.0,-0.5,,6.1,0.0,,0.0,0.0,2.0,,148.0,57.0,0.0,2.0,7.0,16.0,8.0,7.2,14.9,1.0,01-02-2023,2.0,12.0,14.0
3182Y,,72.0,3.0,3.5,,8.7,0.0,,0.0,0.0,6.0,,221.0,91.0,0.0,23.2,10.0,1.0,9.4,9.6,15.7,5.0,01-02-2024,10.0,6.0,13.0
3182Y,,,,3.6,,8.8,0.0,,,,,,,71.0,,,7.0,0.0,10.1,11.8,20.0,,01-03-2009,,,
3182Y,,63.0,2.0,3.9,,11.3,0.0,,1.0,0.0,9.0,,230.0,77.0,0.0,54.2,11.0,6.0,6.0,9.4,14.8,7.0,01-03-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-03-2011,,,
3182Y,,46.0,0.0,2.3,,6.9,0.0,,1.0,0.0,2.0,,172.0,59.0,0.0,15.2,8.0,7.0,6.6,10.9,19.4,2.0,01-03-2012,,,
3182Y,,,,,,,,,,,,,,,,,14.0,,,,,,01-03-2013,,,
3182Y,,55.0,5.0,4.3,,9.0,0.0,,1.0,0.0,6.0,,226.0,75.0,0.0,16.6,11.0,2.0,12.4,11.4,18.4,3.0,01-03-2014,,,
3182Y,,,,,,,,,0.0,,8.0,,,78.0,0.0,10.2,9.0,,,,,3.0,01-03-2015,,,
3182Y,,58.0,2.0,2.2,,9.0,0.0,,,0.0,,,231.0,69.0,,,12.0,9.0,11.9,9.2,16.0,,01-03-2016,,,
3182Y,,62.0,3.0,3.6,,8.5,0.0,,0.0,0.0,7.0,,213.0,83.0,0.0,12.0,10.0,3.0,6.8,11.1,18.5,5.0,01-03-2017,,,
3182Y,,71.0,8.0,4.6,,9.0,0.0,,4.0,0.0,20.0,,348.0,82.0,0.0,113.8,15.0,2.0,9.6,9.0,13.2,16.0,01-03-2018,,,
3182Y,,47.0,1.0,3.6,,8.4,0.0,,0.0,0.0,2.0,,189.0,66.0,0.0,7.4,10.0,2.0,12.6,11.8,20.0,2.0,01-03-2019,,,
3182Y,,66.0,3.0,5.0,,10.9,0.0,,2.0,0.0,10.0,,220.0,91.0,0.0,48.4,10.0,2.0,10.5,11.1,17.2,7.0,01-03-2020,,,
3182Y,,55.0,2.0,3.9,,10.0,0.0,,0.0,0.0,3.0,,184.0,74.0,0.0,1.4,9.0,3.0,11.5,11.0,18.1,1.0,01-03-2021,,,
3182Y,,70.0,0.0,5.9,,11.6,0.0,,1.0,0.0,17.0,,217.0,91.0,0.0,55.6,9.0,0.0,10.6,10.5,14.9,12.0,01-03-2022,24.0,2.0,5.0
3182Y,,55.0,2.0,5.1,,11.6,0.0,,1.0,0.0,5.0,,235.0,84.0,0.0,18.8,12.0,4.0,12.1,12.7,20.2,3.0,01-03-2023,4.0,9.0,18.0
3182Y,,72.0,6.0,5.0,,11.3,0.0,,3.0,0.0,13.0,,252.0,98.0,0.0,87.0,11.0,1.0,8.8,10.9,16.8,12.0,01-03-2024,12.0,3.0,16.0
3182Y,,54.0,1.0,4.5,,8.1,0.0,,0.0,0.0,11.0,,205.0,78.0,0.0,25.2,10.0,1.0,12.9,12.0,19.5,6.0,01-04-2009,,,
3182Y,,61.0,0.0,8.2,,14.8,1.0,,1.0,0.0,11.0,,176.0,105.0,0.0,47.6,8.0,0.0,10.0,14.5,20.7,9.0,01-04-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-04-2011,,,
3182Y,,61.0,5.0,6.2,,10.8,0.0,,0.0,0.0,14.0,,305.0,87.0,0.0,35.6,15.0,1.0,10.9,11.8,17.4,9.0,01-04-2012,,,
3182Y,,60.0,1.0,6.1,,11.7,0.0,,2.0,0.0,8.0,,254.0,93.0,0.0,49.8,11.0,2.0,8.4,12.5,18.9,6.0,01-04-2013,,,
3182Y,,58.0,2.0,9.1,,12.6,1.0,,1.0,0.0,9.0,,220.0,110.0,0.0,28.4,11.0,0.0,13.8,16.2,23.2,4.0,01-04-2014,,,
3182Y,,53.0,3.0,8.0,,12.5,0.0,,0.0,0.0,12.0,,209.0,93.0,0.0,8.0,10.0,0.0,11.2,14.8,21.5,3.0,01-04-2015,,,
3182Y,,62.0,0.0,6.8,,11.8,0.0,,,0.0,,,231.0,93.0,,,12.0,0.0,11.3,12.6,18.3,,01-04-2016,,,
3182Y,,43.0,1.0,6.7,,13.5,0.0,,0.0,0.0,8.0,,199.0,78.0,0.0,14.8,9.0,0.0,14.6,15.2,23.7,6.0,01-04-2017,,,
3182Y,,63.0,6.0,7.5,,13.8,0.0,,1.0,0.0,11.0,,262.0,98.0,0.0,42.0,12.0,0.0,7.6,13.3,19.2,9.0,01-04-2018,,,
3182Y,,59.0,4.0,6.4,,11.6,0.0,,2.0,0.0,15.0,,237.0,89.0,0.0,68.6,12.0,0.0,10.7,12.6,18.6,11.0,01-04-2019,,,
3182Y,,70.0,1.0,8.7,,12.2,0.0,,2.0,0.0,14.0,,186.0,119.0,0.0,68.0,9.0,0.0,14.5,14.1,19.5,9.0,01-04-2020,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-04-2021,,,
3182Y,,60.0,2.0,5.9,,10.4,0.0,,2.0,0.0,11.0,,231.0,95.0,0.0,49.6,10.0,1.0,10.7,12.5,19.1,7.0,01-04-2022,8.0,7.0,12.0
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-04-2023,5.0,8.0,17.0
3182Y,,54.0,1.0,6.4,,14.0,1.0,,0.0,0.0,4.0,,171.0,97.0,0.0,3.5,8.0,0.0,13.3,14.3,22.3,1.0,01-04-2024,3.0,10.0,15.0
3182Y,,40.0,2.0,10.7,,17.1,11.0,,1.0,0.0,5.0,,193.0,95.0,0.0,23.2,10.0,0.0,16.9,19.4,28.0,3.0,01-05-2009,,,
3182Y,,51.0,3.0,9.4,,15.0,4.0,,1.0,0.0,6.0,,234.0,102.0,0.0,19.4,11.0,0.0,12.3,16.3,23.1,3.0,01-05-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-05-2011,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-05-2012,,,
3182Y,,55.0,1.0,7.8,,15.2,0.0,,1.0,0.0,10.0,,193.0,98.0,0.0,41.6,10.0,0.0,10.9,14.9,21.9,10.0,01-05-2013,,,
3182Y,,39.0,2.0,10.3,,14.1,6.0,,0.0,0.0,5.0,,223.0,89.0,0.0,8.8,11.0,0.0,18.6,18.3,26.2,4.0,01-05-2014,,,
3182Y,,39.0,1.0,11.7,,16.8,13.0,,0.0,0.0,1.0,,233.0,100.0,0.0,0.2,12.0,0.0,22.2,20.3,28.7,0.0,01-05-2015,,,
3182Y,,55.0,1.0,9.9,,14.1,1.0,,2.0,0.0,8.0,,203.0,107.0,0.0,48.4,10.0,0.0,14.2,16.3,22.7,7.0,01-05-2016,,,
3182Y,,43.0,2.0,11.7,,18.3,10.0,,0.0,0.0,6.0,,200.0,107.0,0.0,15.6,10.0,0.0,18.4,19.7,27.6,4.0,01-05-2017,,,
3182Y,,55.0,0.0,10.5,,14.5,0.0,,2.0,0.0,15.0,,175.0,117.0,0.0,40.4,8.0,0.0,17.5,17.2,23.9,7.0,01-05-2018,,,
3182Y,,39.0,3.0,10.4,,15.3,8.0,,0.0,0.0,0.0,,235.0,91.0,0.0,0.0,12.0,0.0,20.3,18.9,27.3,0.0,01-05-2019,,,
3182Y,,53.0,0.0,12.0,,16.9,14.0,,0.0,0.0,10.0,,183.0,127.0,0.0,38.2,9.0,0.0,15.5,19.9,27.8,6.0,01-05-2020,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-05-2021,,,
3182Y,,41.0,2.0,12.0,,17.9,14.0,,0.0,0.0,3.0,,196.0,110.0,0.0,2.2,10.0,0.0,18.2,20.6,29.1,1.0,01-05-2022,4.0,9.0,18.0
3182Y,,47.0,2.0,10.8,,14.6,3.0,,2.0,0.0,7.0,,242.0,103.0,0.0,48.6,10.0,0.0,21.7,17.9,25.0,5.0,01-05-2023,10.0,3.0,18.0
3182Y,,45.0,0.0,9.1,,16.2,9.0,,0.0,0.0,1.0,,201.0,100.0,0.0,3.8,10.0,0.0,16.5,17.7,26.1,1.0,01-05-2024,7.0,5.0,19.0
3182Y,,36.0,5.0,15.2,,20.7,22.0,,1.0,0.0,5.0,,241.0,114.0,0.0,14.8,12.0,0.0,20.9,23.7,32.0,3.0,01-06-2009,,,
3182Y,,48.0,3.0,14.2,,19.6,16.0,,1.0,0.0,11.0,,189.0,128.0,0.0,48.4,9.0,0.0,17.7,21.4,28.6,8.0,01-06-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-06-2011,,,
3182Y,,34.0,2.0,16.3,,23.7,21.0,,0.0,0.0,2.0,,238.0,110.0,0.0,1.0,12.0,0.0,25.6,24.4,32.5,0.0,01-06-2012,,,
3182Y,,39.0,0.0,13.0,,17.9,17.0,,0.0,0.0,5.0,,217.0,108.0,0.0,1.6,10.0,0.0,19.6,21.4,29.8,0.0,01-06-2013,,,
3182Y,,37.0,1.0,14.7,,19.3,17.0,,0.0,0.0,3.0,,215.0,111.0,0.0,7.2,11.0,0.0,22.9,22.6,30.5,3.0,01-06-2014,,,
3182Y,,35.0,0.0,16.4,,21.5,22.0,,0.0,0.0,6.0,,199.0,114.0,0.0,4.6,10.0,0.0,22.0,24.6,32.7,1.0,01-06-2015,,,
3182Y,,35.0,1.0,15.0,,20.0,24.0,,0.0,0.0,2.0,,222.0,113.0,0.0,2.4,11.0,0.0,21.9,23.7,32.3,1.0,01-06-2016,,,
3182Y,,35.0,5.0,17.9,,23.2,24.0,,0.0,0.0,4.0,,219.0,128.0,0.0,18.0,11.0,0.0,24.7,26.2,34.4,3.0,01-06-2017,,,
3182Y,,49.0,2.0,14.9,,20.4,16.0,,0.0,0.0,8.0,,182.0,136.0,0.0,25.2,9.0,0.0,19.4,22.3,29.7,7.0,01-06-2018,,,
3182Y,,31.0,0.0,15.4,,23.4,18.0,,0.0,0.0,1.0,,264.0,99.0,0.0,0.8,13.0,0.0,22.9,23.7,32.0,0.0,01-06-2019,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-06-2020,,,
3182Y,,43.0,0.0,15.7,,19.5,18.0,,2.0,0.0,5.0,,244.0,128.0,0.0,27.0,11.0,0.0,21.4,23.3,30.9,3.0,01-06-2021,,,
3182Y,,33.0,2.0,15.8,,24.6,20.0,,0.0,0.0,1.0,,232.0,112.0,0.0,2.2,12.0,0.0,25.3,24.6,33.4,1.0,01-06-2022,5.0,11.0,14.0
3182Y,,51.0,0.0,16.9,,21.7,15.0,,1.0,0.0,12.0,,176.0,155.0,0.0,49.4,9.0,0.0,21.5,23.9,30.9,10.0,01-06-2023,9.0,7.0,14.0
3182Y,,45.0,2.0,14.9,,21.9,18.0,,0.0,0.0,11.0,,213.0,130.0,0.0,25.6,11.0,0.0,20.3,22.8,30.5,5.0,01-06-2024,7.0,8.0,15.0
3182Y,,28.0,2.0,16.9,,20.2,30.0,,0.0,0.0,0.0,,247.0,102.0,0.0,0.0,13.0,0.0,29.8,25.9,34.9,0.0,01-07-2009,,,
3182Y,,34.0,0.0,18.8,,24.9,29.0,,0.0,0.0,2.0,,186.0,134.0,0.0,9.2,9.0,0.0,30.2,27.4,36.0,2.0,01-07-2010,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-07-2011,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-07-2012,,,
3182Y,,32.0,1.0,18.6,,21.6,29.0,,1.0,1.0,2.0,,197.0,123.0,0.0,17.4,10.0,0.0,25.8,27.0,35.3,1.0,01-07-2013,,,
3182Y,,,,,,,,,,,,,,119.0,,,11.0,,,,,,01-07-2014,,,
3182Y,,,0.0,19.8,,23.7,29.0,,0.0,0.0,1.0,,208.0,127.0,0.0,0.8,11.0,0.0,32.6,29.0,38.2,0.0,01-07-2015,,,
3182Y,,31.0,1.0,19.0,,23.1,31.0,,0.0,0.0,4.0,,205.0,128.0,0.0,14.2,9.0,0.0,30.8,27.8,36.6,2.0,01-07-2016,,,
3182Y,,36.0,1.0,17.5,,22.9,27.0,,2.0,0.0,4.0,,201.0,125.0,1.0,58.0,10.0,0.0,25.3,26.1,34.7,3.0,01-07-2017,,,
3182Y,,35.0,0.0,16.8,,21.6,27.0,,0.0,0.0,0.0,,198.0,126.0,0.0,0.0,10.0,0.0,29.0,25.3,33.7,0.0,01-07-2018,,,
3182Y,,30.0,2.0,19.7,,23.6,31.0,,0.0,0.0,2.0,,241.0,123.0,0.0,2.6,12.0,0.0,30.1,28.0,36.2,1.0,01-07-2019,,,
3182Y,,,,,,,,,,,,,,,,,7.0,,,,,,01-07-2020,,,
3182Y,,33.0,0.0,16.9,,21.5,26.0,,0.0,0.0,2.0,,217.0,121.0,0.0,2.0,11.0,0.0,23.6,25.9,34.8,1.0,01-07-2021,,,
3182Y,,27.0,2.0,20.3,,24.5,31.0,,0.0,0.0,1.0,,203.0,123.0,0.0,5.4,10.0,0.0,33.1,29.6,38.9,1.0,01-07-2022,0.0,21.0,10.0
3182Y,,30.0,1.0,18.6,,22.9,31.0,,0.0,0.0,0.0,,218.0,126.0,0.0,0.0,12.0,0.0,33.4,27.7,36.8,0.0,01-07-2023,1.0,21.0,9.0
3182Y,,30.0,3.0,18.4,,23.8,31.0,,0.0,0.0,0.0,,211.0,127.0,0.0,0.0,11.0,0.0,32.2,27.9,37.4,0.0,01-07-2024,0.0,22.0,9.0
3182Y,,32.0,0.0,18.2,,22.4,31.0,,0.0,0.0,1.0,,184.0,119.0,0.0,3.2,9.0,0.0,31.0,27.0,35.8,1.0,01-08-2009,,,
3182Y,,37.0,1.0,17.4,,22.1,27.0,,0.0,0.0,2.0,,185.0,132.0,0.0,3.4,9.0,0.0,28.2,26.0,34.6,2.0,01-08-2010,,,
3182Y,,37.0,3.0,17.1,,22.1,27.0,,0.0,0.0,4.0,,197.0,132.0,0.0,6.6,10.0,0.0,28.0,25.7,34.2,2.0,01-08-2011,,,
3182Y,,32.0,3.0,17.7,,25.3,27.0,,0.0,0.0,0.0,,213.0,119.0,0.0,0.0,11.0,0.0,28.1,26.4,35.0,0.0,01-08-2012,,,
3182Y,,34.0,0.0,17.9,,22.2,30.0,,1.0,0.0,3.0,,178.0,125.0,0.0,15.6,8.0,0.0,28.7,26.7,35.3,2.0,01-08-2013,,,
3182Y,,35.0,0.0,17.1,,20.4,29.0,,0.0,0.0,0.0,,207.0,123.0,0.0,0.0,11.0,0.0,29.0,25.5,33.8,0.0,01-08-2014,,,
3182Y,,37.0,2.0,18.3,,23.4,22.0,,0.0,0.0,2.0,,223.0,130.0,0.0,2.2,11.0,0.0,26.7,26.2,34.1,1.0,01-08-2015,,,
3182Y,,31.0,0.0,18.7,,22.3,31.0,,0.0,0.0,1.0,,188.0,121.0,0.0,0.4,9.0,0.0,31.3,27.4,36.1,0.0,01-08-2016,,,
3182Y,,36.0,0.0,18.1,,22.3,26.0,,0.0,0.0,3.0,,183.0,128.0,0.0,6.2,9.0,0.0,25.0,26.4,34.6,1.0,01-08-2017,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-08-2018,,,
3182Y,,37.0,3.0,17.8,,21.8,29.0,,1.0,0.0,3.0,,201.0,128.0,1.0,65.2,10.0,0.0,27.5,26.1,34.3,2.0,01-08-2019,,,
3182Y,,,,,,,,,,,,,,,,,9.0,,,,,,01-08-2020,,,
3182Y,,35.0,1.0,17.7,,23.4,27.0,,1.0,0.0,1.0,,217.0,128.0,1.0,42.4,9.0,0.0,29.6,26.5,35.3,1.0,01-08-2021,,,
3182Y,,33.0,3.0,19.6,,25.2,29.0,,0.0,0.0,2.0,,208.0,132.0,0.0,2.0,10.0,0.0,29.7,27.9,36.2,1.0,01-08-2022,2.0,16.0,13.0
3182Y,,28.0,2.0,18.2,,23.9,30.0,,0.0,0.0,0.0,,195.0,116.0,0.0,0.0,10.0,0.0,26.6,27.6,37.0,0.0,01-08-2023,0.0,21.0,10.0
3182Y,,35.0,1.0,20.1,,24.8,30.0,,1.0,0.0,3.0,,190.0,144.0,0.0,24.0,9.0,0.0,28.6,28.6,37.1,3.0,01-08-2024,1.0,17.0,12.0
3182Y,,47.0,0.0,14.7,,20.6,13.0,,0.0,0.0,4.0,,185.0,121.0,0.0,12.2,7.0,0.0,15.2,21.8,28.9,2.0,01-09-2009,,,
3182Y,,50.0,2.0,13.8,,18.4,11.0,,1.0,0.0,5.0,,145.0,126.0,1.0,41.0,7.0,0.0,20.9,21.2,28.6,3.0,01-09-2010,,,
3182Y,,39.0,0.0,13.1,,18.1,18.0,,0.0,0.0,3.0,,142.0,109.0,0.0,1.6,6.0,0.0,23.3,22.0,30.9,1.0,01-09-2011,,,
3182Y,,45.0,2.0,13.8,,18.8,18.0,,2.0,0.0,6.0,,200.0,114.0,1.0,55.2,9.0,0.0,17.6,21.4,28.9,4.0,01-09-2012,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-09-2013,,,
3182Y,,52.0,1.0,14.9,,20.0,12.0,,0.0,0.0,8.0,,176.0,137.0,0.0,8.2,9.0,0.0,22.1,22.1,29.1,3.0,01-09-2014,,,
3182Y,,45.0,2.0,13.0,,18.9,8.0,,0.0,0.0,7.0,,191.0,109.0,0.0,3.2,9.0,0.0,21.3,20.6,28.1,1.0,01-09-2015,,,
3182Y,,41.0,0.0,14.0,,20.4,13.0,,0.0,0.0,2.0,,148.0,114.0,0.0,5.8,8.0,0.0,19.7,22.4,30.7,1.0,01-09-2016,,,
3182Y,,39.0,0.0,12.3,,18.5,13.0,,0.0,0.0,0.0,,155.0,103.0,0.0,0.0,8.0,0.0,23.4,21.0,29.6,0.0,01-09-2017,,,
3182Y,,48.0,0.0,16.2,,21.1,25.0,,0.0,0.0,5.0,,135.0,147.0,0.0,12.4,6.0,0.0,23.2,24.1,31.9,4.0,01-09-2018,,,
3182Y,,53.0,2.0,14.7,,18.8,9.0,,2.0,0.0,5.0,,179.0,135.0,1.0,81.4,8.0,0.0,20.4,21.4,28.1,5.0,01-09-2019,,,
3182Y,,45.0,0.0,14.0,,19.9,14.0,,0.0,0.0,5.0,,186.0,117.0,0.0,16.4,8.0,0.0,21.4,21.6,29.2,2.0,01-09-2020,,,
3182Y,,59.0,2.0,14.9,,20.1,5.0,,2.0,0.0,8.0,,157.0,150.0,0.0,52.2,8.0,0.0,20.1,21.1,27.3,5.0,01-09-2021,,,
3182Y,,47.0,1.0,14.3,,22.3,13.0,,1.0,0.0,5.0,,194.0,126.0,0.0,22.6,9.0,0.0,18.1,21.6,29.0,4.0,01-09-2022,8.0,10.0,12.0
3182Y,,64.0,0.0,15.0,,20.1,9.0,,5.0,0.0,13.0,,137.0,164.0,1.0,111.0,6.0,0.0,19.2,21.2,27.3,9.0,01-09-2023,9.0,9.0,12.0
3182Y,,49.0,1.0,13.5,,20.3,10.0,,1.0,0.0,4.0,,194.0,123.0,0.0,18.2,9.0,0.0,22.4,20.8,28.0,2.0,01-09-2024,4.0,11.0,15.0
3182Y,,56.0,1.0,9.6,,15.8,1.0,,1.0,0.0,3.0,,130.0,112.0,0.0,21.0,6.0,0.0,13.7,17.3,25.0,3.0,01-10-2009,,,
3182Y,,,,,,,,,,,,,,,,,5.0,,,,,,01-10-2010,,,
3182Y,,51.0,0.0,8.7,,14.7,8.0,,,0.0,,,145.0,95.0,,,6.0,0.0,15.8,17.1,25.5,,01-10-2011,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-10-2012,,,
3182Y,,66.0,0.0,9.4,,14.3,0.0,,1.0,0.0,6.0,,146.0,122.0,0.0,41.2,6.0,0.0,16.4,16.1,22.7,6.0,01-10-2013,,,
3182Y,,64.0,1.0,11.1,,15.9,0.0,,,0.0,,,131.0,131.0,,,6.0,0.0,15.6,18.2,25.2,,01-10-2014,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-10-2015,,,
3182Y,,64.0,0.0,10.5,,15.2,4.0,,3.0,0.0,13.0,,107.0,123.0,0.0,82.2,5.0,0.0,13.7,17.1,23.7,8.0,01-10-2016,,,
3182Y,,51.0,0.0,9.5,,15.5,8.0,,1.0,0.0,3.0,,120.0,104.0,0.0,26.2,5.0,0.0,15.1,18.2,26.9,2.0,01-10-2017,,,
3182Y,,60.0,0.0,9.1,,15.2,0.0,,0.0,0.0,12.0,,165.0,107.0,0.0,32.6,8.0,0.0,9.6,15.6,22.0,8.0,01-10-2018,,,
3182Y,,67.0,2.0,9.7,,16.4,3.0,,2.0,0.0,9.0,,138.0,123.0,0.0,39.0,6.0,0.0,10.5,16.3,22.9,7.0,01-10-2019,,,
3182Y,,62.0,2.0,7.1,,13.8,0.0,,1.0,0.0,7.0,,189.0,100.0,0.0,34.8,9.0,0.0,14.3,14.1,21.0,7.0,01-10-2020,,,
3182Y,,62.0,,8.6,,14.5,0.0,,2.0,,4.0,,,113.0,1.0,74.6,5.0,0.0,16.1,16.3,23.9,4.0,01-10-2021,6.0,15.0,10.0
3182Y,,57.0,3.0,11.9,,16.0,5.0,,,0.0,,,125.0,121.0,,,7.0,0.0,17.3,19.0,26.1,,01-10-2022,13.0,7.0,11.0
3182Y,,66.0,3.0,11.8,,16.0,11.0,,2.0,0.0,11.0,,207.0,134.0,2.0,137.6,9.0,0.0,14.2,18.1,24.3,9.0,01-10-2023,9.0,8.0,14.0
3182Y,,71.0,3.0,10.9,,16.4,0.0,,2.0,0.0,15.0,,191.0,136.0,0.0,76.2,9.0,0.0,14.4,16.6,22.2,10.0,01-10-2024,13.0,2.0,16.0
3182Y,,66.0,2.0,4.7,,10.3,0.0,,,0.0,,,184.0,89.0,,,7.0,2.0,10.4,11.2,17.6,,01-11-2009,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-11-2010,,,
3182Y,,79.0,1.0,6.6,,12.9,0.0,,4.0,0.0,15.0,,138.0,107.0,0.0,91.2,6.0,1.0,11.7,11.3,16.0,13.0,01-11-2011,,,
3182Y,,79.0,0.0,5.8,,11.4,0.0,,3.0,0.0,11.0,,154.0,103.0,0.0,58.0,8.0,2.0,8.5,10.2,14.6,7.0,01-11-2012,,,
