indicativo,p_max,hr,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,q_min,np_010,fecha,n_cub,n_des,n_nub
3266A,,59.0,857.6(30),14.0,1019.0,848.8,3.7,,11.4,0.0,,3.0,3.0,13.0,,518.0,60.0,1.0,163.1,22.0,3.0,3.5,7.6,11.5,826.9(02),6.0,01-10-2020,,,
3266A,,48.0,857.6(19),4.0,1019.4,850.9,6.6,,10.2,0.0,,2.0,0.0,8.0,,339.0,62.0,1.0,63.2,14.0,0.0,9.8,10.8,15.1,837.5(30),5.0,01-10-2021,7.0,14.0,10.0
3266A,,72.0,858.7(02),4.0,1019.6,852.2,9.3,,14.6,0.0,,2.0,0.0,11.0,,273.0,100.0,1.0,75.3,12.0,0.0,8.7,12.6,15.8,844.3(22),10.0,01-10-2022,14.0,6.0,11.0
3266A,,76.0,859.6(04),8.0,1015.0,848.1,8.9,,16.2,0.0,,3.0,3.0,16.0,,324.0,101.0,3.0,148.3,13.0,0.0,6.0,12.0,15.0,824.5(19),13.0,01-10-2023,10.0,9.0,12.0
3266A,,91.0,857.9(22),11.0,1016.5,848.0,6.3,,11.6,0.0,,5.0,2.0,19.0,,443.0,109.0,1.0,195.8,18.0,2.0,1.8,9.3,12.3,835.9(09),17.0,01-10-2024,14.0,1.0,16.0
3266A,,83.0,855.5(01),11.0,1019.4,846.1,-1.0,,4.1,0.0,,1.0,1.0,12.0,,408.0,61.0,0.0,28.5,20.0,18.0,-2.7,2.1,5.2,835.9(09),5.0,01-11-2001,,,
3266A,,91.0,859.1(30),9.0,1018.0,845.8,0.3,,4.9,0.0,,5.0,2.0,19.0,,478.0,71.0,1.0,118.8,22.0,15.0,0.0,3.1,5.9,821.5(14),13.0,01-11-2002,,,
3266A,,92.0,856.0(13),8.0,1018.3,846.6,1.6,,5.4,0.0,,2.0,2.0,10.0,,409.0,77.0,0.0,43.0,18.0,12.0,1.4,4.4,7.2,824.3(01),6.0,01-11-2003,,,
3266A,,80.0,858.5(16),5.0,1024.0,851.0,0.7,,4.6,0.0,,1.0,0.0,5.0,,344.0,65.0,0.0,23.5,15.0,9.0,-0.1,4.2,7.7,834.9(30),4.0,01-11-2004,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2005,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2006,,,
3266A,,66.0,857.4(06),2.0,1021.7,848.5,-0.2,,4.9,0.0,,2.0,0.0,3.0,,284.0,48.0,0.0,48.2,12.0,16.0,-1.8,3.5,7.1,832.9(20),3.0,01-11-2007,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2008,,,
3266A,,,,,,,2.5,,9.8,0.0,,0.0,,13.0,,,70.0,0.0,20.2,21.0,7.0,-0.8,5.2,7.9,,7.0,01-11-2009,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2010,,,
3266A,,84.0,859.9(25),6.0,1020.0,848.1,2.4,,7.4,0.0,,,0.0,,,321.0,71.0,,,12.0,4.0,2.3,4.6,6.8,828.6(04),,01-11-2011,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2012,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2013,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2014,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-11-2015,,,
3266A,,77.0,857.3(15),8.0,1018.2,845.8,0.6,,8.4,0.0,,5.0,1.0,15.0,,410.0,60.0,4.0,330.4,17.0,17.0,-1.1,3.4,6.2,832.2(21),12.0,01-11-2016,,,
3266A,,59.0,857.9(10),,1022.2,849.8,1.4,,6.5,0.0,,1.0,,7.0,,,48.0,0.0,27.6,,13.0,-0.5,4.8,8.2,837.3(29),5.0,01-11-2017,,,
3266A,,,854.8(13),,,844.5,1.5,,5.9,0.0,,4.0,,23.0,,,,1.0,174.1,,10.0,2.7,3.9,6.3,831.4(20),18.0,01-11-2018,,,
3266A,,76.0,853.6(01),24.0,1013.1,841.0,0.1,,9.3,0.0,,1.0,7.0,21.0,,720.0,56.0,0.0,80.0,29.0,16.0,-1.7,2.6,5.0,822.0(23),16.0,01-11-2019,,,
3266A,,65.0,862.8(19),7.0,1022.5,851.2,4.0,,9.3,0.0,,,1.0,,,352.0,62.0,,,15.0,0.0,3.7,6.7,9.4,836.6(28),,01-11-2020,,,
3266A,,69.0,855.0(30),13.0,1020.0,846.3,-1.0,,3.0,0.0,,0.0,2.0,13.0,,468.0,47.0,0.0,26.4,19.0,20.0,-1.3,1.9,4.7,832.4(27),9.0,01-11-2021,13.0,5.0,12.0
3266A,,87.0,858.7(26),15.0,1020.3,849.0,2.5,,6.7,0.0,,3.0,2.0,19.0,,499.0,80.0,0.0,102.8,20.0,7.0,0.4,5.8,9.1,839.8(21),15.0,01-11-2022,17.0,2.0,11.0
3266A,,88.0,858.1(18),16.0,1018.9,848.1,3.2,,9.2,0.0,,1.0,4.0,14.0,,546.0,84.0,1.0,70.6,23.0,8.0,2.5,6.4,9.5,830.7(04),8.0,01-11-2023,11.0,6.0,13.0
3266A,,90.0,859.0(30),9.0,1022.8,851.5,4.0,,8.1,0.0,,2.0,1.0,12.0,,418.0,87.0,0.0,38.1,17.0,3.0,3.9,6.6,9.1,841.2(22),6.0,01-11-2024,8.0,3.0,19.0
3266A,,68.0,855.6(05),7.0,1018.6,845.0,-2.2,,5.9,0.0,,0.0,1.0,8.0,,372.0,46.0,0.0,17.8,17.0,21.0,-4.1,1.2,4.5,832.6(23),4.0,01-12-2001,,,
3266A,,93.0,857.1(01),12.0,1021.8,848.2,0.0,,6.8,0.0,,7.0,3.0,18.0,,472.0,67.0,2.0,199.9,20.0,18.0,-1.9,2.1,4.3,833.0(27),13.0,01-12-2002,,,
3266A,,91.0,859.7(23),15.0,1022.8,848.2,-1.2,,4.1,0.0,,,3.0,,,483.0,60.0,,,22.0,21.0,-2.8,1.1,3.4,833.8(09),,01-12-2003,,,
3266A,,,861.5(30),9.0,,849.5,-1.8,,2.1,0.0,,0.0,1.0,0.0,,407.0,62.0,0.0,0.0,17.0,21.0,-5.6,0.6,2.9,825.5(01),0.0,01-12-2004,,,
3266A,,,858.0(09),14.0,1023.3,848.5,-2.0,,1.5,0.0,,3.0,1.0,13.0,,541.0,53.0,0.0,45.8,22.0,25.0,-3.4,0.6,3.1,831.7(02),6.0,01-12-2005,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2006,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2007,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2008,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2009,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2010,,,
3266A,,74.0,861.0(28),15.0,1029.0,853.8,-1.5,,2.9,0.0,,0.0,1.0,8.0,,455.0,50.0,0.0,9.5,17.0,22.0,-2.1,1.5,4.5,844.2(16),3.0,01-12-2011,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2012,,,
3266A,,,860.4(15),,,851.4,,,,,,,,,,,,,,11.0,,,,,827.3(25),,01-12-2013,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2014,,,
3266A,,68.0,864.1(09),0.0,1030.7,857.2,2.6,,6.1,0.0,,1.0,0.0,7.0,,262.0,58.0,0.0,46.6,11.0,2.0,3.2,5.5,8.3,848.7(14),6.0,01-12-2015,,,
3266A,,68.0,864.8(24),2.0,1028.1,854.4,1.3,,6.5,0.0,,,0.0,,,334.0,53.0,,,14.0,8.0,-0.6,4.0,6.6,840.1(03),,01-12-2016,,,
3266A,,,865.2(21),,,851.3,-1.8,,3.4,0.0,,1.0,,15.0,,,43.0,0.0,43.0,22.0,23.0,-3.9,1.1,4.0,821.1(11),13.0,01-12-2017,,,
3266A,,,860.7(09),,,854.3,1.6,,6.5,0.0,,0.0,,7.0,,,41.0,0.0,12.1,,9.0,-0.4,5.2,8.8,834.8(13),5.0,01-12-2018,,,
3266A,,,860.5(31),11.0,1020.8,848.6,,,,,,,6.0,,,596.0,46.0,,,22.0,,,,,829.0(16),,01-12-2019,,,
3266A,,74.0,858.0(21),14.0,1017.8,844.1,-1.5,,5.5,0.0,,2.0,8.0,18.0,,521.0,50.0,0.0,62.5,20.0,19.0,-2.7,1.1,3.6,824.4(04),12.0,01-12-2020,,,
3266A,,64.0,859.0(31),16.0,1022.2,849.5,1.4,,7.5,0.0,,2.0,4.0,14.0,,560.0,51.0,0.0,65.7,23.0,8.0,-0.4,4.1,6.7,836.9(25),11.0,01-12-2021,7.0,7.0,16.0
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2022,14.0,5.0,12.0
3266A,,79.0,863.8(16),13.0,1025.6,851.9,0.1,,5.5,0.0,,1.0,0.0,10.0,,431.0,60.0,0.0,29.2,19.0,16.0,-0.4,3.5,6.9,829.6(01),3.0,01-12-2023,9.0,8.0,14.0
3266A,,85.0,863.9(16),9.0,1029.2,854.4,-0.6,,6.4,0.0,,0.0,2.0,9.0,,440.0,61.0,0.0,12.4,19.0,20.0,-1.7,2.4,5.4,844.2(11),5.0,01-12-2024,6.0,9.0,16.0
