indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
3200,,12,81,1,4,3.5,956.6(20),9.0,1017.5,944.5,3.9,,8.0,0,0.0,2,,1,17,36,1.0,19,,375.0,86,0,0.0,591,65.4,19,0,16.0,2,4.8,1,7.3,10.7,0.0,929.4(28),14,01-01-2001
3200,,11,83,0,9,4.0,962.3(11),0.0,1028.4,954.5,2.4,,8.0,0,0.0,1,,1,19,40,0.0,10,,188.0,83,0,7.0,372,38.4,11,0,7.0,7,7.6,0,6.6,10.7,0.0,939.3(23),9,01-01-2002
3200,,9,72,1,3,5.3,962.1(14),11.0,1022.3,948.6,1.4,,8.6,0,0.0,11,,1,11,54,0.0,12,,340.0,70,0,2.0,603,43.5,10,0,15.0,11,4.6,2,5.8,10.3,0.0,929.7(05),9,01-01-2003
3200,,8,76,0,8,5.0,956.6(10),6.0,1021.0,947.8,2.0,,9.6,0,0.0,6,,0,17,52,0.0,4,,259.0,81,0,5.0,515,8.7,5,0,11.0,12,8.4,0,7.0,12.0,0.0,937.4(27),3,01-01-2004
3200,,0,63,0,3,8.1,965.9(06),5.0,1028.5,954.2,-1.2,,4.2,0,0.0,16,,0,15,83,1.0,1,,201.0,57,0,1.0,654,0.2,0,0,9.0,20,3.4,2,5.3,11.8,0.0,939.9(27),0,01-01-2005
3200,,11,74,0,2,4.5,958.9(11),0.0,1021.5,947.7,1.6,,5.2,0,0.0,6,,2,14,47,0.0,7,,213.0,68,0,1.0,401,33.2,8,0,8.0,9,3.4,1,5.4,9.2,0.0,935.8(06),3,01-01-2006
3200,,11,76,0,12,3.9,967.5(01),2.0,1027.7,953.7,2.0,,5.4,0,0.0,3,,0,17,40,0.0,2,,196.0,74,0,7.0,499,11.1,4,0,8.0,7,5.4,3,6.3,10.6,0.0,933.5(25),2,01-01-2007
3200,,5,77,0,6,5.2,963.1(27),3.0,1024.7,951.3,3.6,,9.4,0,0.0,10,,1,16,54,0.0,7,,199.0,84,0,1.0,540,21.5,8,0,8.0,2,7.4,0,8.1,12.6,0.0,924.9(03),5,01-01-2008
3200,,10,76,0,4,4.5,957.5(11),5.0,1017.5,943.9,1.7,,10.8,0,0.0,5,,0,16,46,0.0,11,,313.0,71,0,4.0,694,27.4,9,0,12.0,11,0.5,3,5.2,8.7,0.0,928.6(25),8,01-01-2009
3200,,12,78,0,7,3.7,952.5(15),4.0,1016.1,942.8,2.6,,8.2,0,0.0,2,,0,17,38,0.0,12,,306.0,74,0,2.0,572,48.9,10,0,13.0,7,0.2,5,5.7,8.8,0.0,926.7(07),9,01-01-2010
