indicativo,p_max,hr,tm_min,ta_max,ts_min,nt_30,np_100,np_001,ta_min,e,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3330Y,,,,,,,,,,,,,,,,,,01-01-2009,,,
3330Y,,88.0,1.1,,6.5,0.0,1.0,9.0,,71.0,0.0,35.6,9.0,-1.8,3.7,6.2,4.0,01-01-2010,,,
3330Y,,84.0,1.7,,7.0,0.0,3.0,13.0,,75.0,0.0,79.2,10.0,1.9,4.9,7.9,10.0,01-01-2011,,,
3330Y,,70.0,1.7,,8.7,0.0,0.0,3.0,,65.0,0.0,8.0,5.0,4.0,6.2,10.6,1.0,01-01-2012,,,
3330Y,,82.0,2.0,,6.9,0.0,1.0,15.0,,72.0,0.0,46.8,5.0,2.2,5.2,8.3,10.0,01-01-2013,,,
3330Y,,86.0,3.2,,7.9,0.0,3.0,22.0,,80.0,0.0,102.6,1.0,4.8,6.1,8.9,16.0,01-01-2014,,,
3330Y,,,,,,,,,,,,,,,,,,01-01-2015,,,
3330Y,,,,,,,,,,,,,,,,,,01-01-2016,,,
3330Y,,71.0,1.2,,6.8,0.0,1.0,5.0,,64.0,0.0,32.0,10.0,3.6,5.1,8.9,3.0,01-01-2017,,,
3330Y,,78.0,1.9,,7.2,0.0,1.0,9.0,,71.0,0.0,35.4,5.0,1.2,5.5,9.1,5.0,01-01-2018,,,
3330Y,,,,,,,,,,,,,,,,,,01-01-2019,,,
3330Y,,81.0,2.7,,8.1,0.0,0.0,11.0,,74.0,0.0,24.8,5.0,4.5,5.9,9.0,8.0,01-01-2020,,,
3330Y,,80.0,0.9,,9.1,0.0,,,,69.0,,,14.0,-0.9,4.2,7.5,,01-01-2021,,,
3330Y,,64.0,1.7,,7.1,0.0,0.0,2.0,,60.0,0.0,10.0,10.0,5.7,6.1,10.5,2.0,01-01-2022,7.0,12.0,12.0
3330Y,,75.0,1.4,,7.2,0.0,0.0,7.0,,69.0,0.0,22.0,6.0,3.2,5.2,8.8,4.0,01-01-2023,7.0,9.0,15.0
3330Y,,81.0,4.0,,9.5,0.0,4.0,9.0,,84.0,0.0,84.2,3.0,4.2,7.6,11.1,8.0,01-01-2024,12.0,4.0,15.0
3330Y,,,,,,,,,,,,,,,,,,01-02-2009,,,
3330Y,,82.0,1.2,,6.6,0.0,1.0,16.0,,70.0,1.0,85.6,13.0,0.0,4.2,7.1,11.0,01-02-2010,,,
3330Y,,67.0,3.1,,9.1,0.0,2.0,7.0,,67.0,0.0,51.0,3.0,3.6,7.4,11.6,7.0,01-02-2011,,,
3330Y,,48.0,-0.4,,6.1,0.0,0.0,4.0,,42.0,0.0,1.6,17.0,0.3,4.7,9.8,0.0,01-02-2012,,,
3330Y,,76.0,1.8,,5.4,0.0,4.0,12.0,,67.0,0.0,72.8,7.0,2.2,5.0,8.0,8.0,01-02-2013,,,
3330Y,,86.0,1.8,,7.0,0.0,2.0,20.0,,75.0,0.0,96.2,6.0,2.7,5.0,8.2,16.0,01-02-2014,,,
3330Y,,71.0,1.2,,5.3,0.0,0.0,7.0,,61.0,0.0,13.2,9.0,1.1,4.6,7.9,4.0,01-02-2015,,,
3330Y,,78.0,2.5,,8.7,0.0,3.0,12.0,,75.0,0.0,87.4,5.0,4.1,5.8,9.1,10.0,01-02-2016,,,
3330Y,,81.0,3.6,,7.7,0.0,3.0,12.0,,81.0,1.0,111.6,1.0,5.2,6.8,10.0,8.0,01-02-2017,,,
3330Y,,65.0,0.7,,6.4,0.0,2.0,7.0,,57.0,1.0,60.8,13.0,1.5,4.4,8.1,3.0,01-02-2018,,,
3330Y,,61.0,2.5,,6.0,0.0,0.0,3.0,,63.0,0.0,0.8,3.0,5.4,7.7,12.9,0.0,01-02-2019,,,
3330Y,,77.0,4.6,,9.9,0.0,0.0,4.0,,89.0,0.0,2.4,0.0,7.3,9.0,13.3,2.0,01-02-2020,,,
3330Y,,83.0,4.6,,6.8,0.0,4.0,9.0,,89.0,0.0,82.0,0.0,6.7,8.1,11.5,8.0,01-02-2021,,,
3330Y,,63.0,3.5,,5.9,0.0,0.0,4.0,,70.0,0.0,11.2,1.0,7.5,8.7,13.9,3.0,01-02-2022,8.0,8.0,12.0
3330Y,,62.0,1.3,,6.1,0.0,0.0,3.0,,57.0,0.0,4.0,10.0,4.4,5.8,10.3,2.0,01-02-2023,7.0,9.0,12.0
3330Y,,74.0,4.7,,9.3,0.0,3.0,12.0,,82.0,0.0,62.2,0.0,5.0,8.4,12.1,7.0,01-02-2024,7.0,8.0,14.0
3330Y,,,,,,,,,,,,,,,,,,01-03-2009,,,
3330Y,,74.0,2.9,,9.5,0.0,2.0,16.0,,75.0,1.0,79.6,6.0,1.9,6.7,10.5,8.0,01-03-2010,,,
3330Y,,76.0,4.0,,8.5,0.0,3.0,20.0,,80.0,0.0,58.8,3.0,2.8,7.5,10.9,12.0,01-03-2011,,,
3330Y,,50.0,3.8,,8.1,0.0,0.0,3.0,,57.0,0.0,7.2,4.0,5.2,9.4,15.0,3.0,01-03-2012,,,
3330Y,,86.0,3.8,,7.9,0.0,4.0,24.0,,86.0,1.0,169.0,3.0,3.8,6.6,9.4,22.0,01-03-2013,,,
3330Y,,64.0,4.2,,10.0,0.0,1.0,8.0,,73.0,0.0,52.2,1.0,8.0,8.9,13.5,8.0,01-03-2014,,,
3330Y,,61.0,4.7,,9.7,0.0,2.0,7.0,,71.0,0.0,48.5,3.0,6.1,9.6,14.5,7.0,01-03-2015,,,
3330Y,,68.0,2.8,,7.0,0.0,0.0,12.0,,69.0,0.0,33.6,3.0,7.1,7.1,11.4,8.0,01-03-2016,,,
3330Y,,70.0,4.2,,9.8,0.0,0.0,8.0,,81.0,0.0,27.8,4.0,3.4,9.2,14.2,7.0,01-03-2017,,,
3330Y,,80.0,2.8,,7.4,0.0,9.0,21.0,,75.0,0.0,184.8,4.0,5.4,6.1,9.3,20.0,01-03-2018,,,
3330Y,,54.0,4.1,,7.8,0.0,1.0,3.0,,66.0,0.0,11.6,1.0,8.8,9.8,15.4,2.0,01-03-2019,,,
3330Y,,74.0,4.8,,11.1,0.0,2.0,13.0,,86.0,0.0,66.8,3.0,6.1,9.0,13.1,7.0,01-03-2020,,,
3330Y,,64.0,3.9,,8.3,0.0,0.0,3.0,,73.0,0.0,11.8,1.0,7.2,8.8,13.7,3.0,01-03-2021,,,
3330Y,,80.0,4.5,,8.8,0.0,8.0,18.0,,85.0,2.0,252.4,1.0,6.9,7.6,10.6,14.0,01-03-2022,22.0,0.0,9.0
3330Y,,67.0,5.3,,8.8,0.0,0.0,6.0,,84.0,0.0,9.4,4.0,5.2,10.2,15.1,2.0,01-03-2023,6.0,6.0,19.0
3330Y,,78.0,4.7,,11.4,0.0,8.0,17.0,,90.0,1.0,165.8,3.0,6.1,8.8,12.9,13.0,01-03-2024,10.0,1.0,20.0
3330Y,,58.0,4.5,,9.5,0.0,1.0,11.0,,72.0,0.0,36.6,0.0,7.4,9.8,15.0,6.0,01-04-2009,,,
3330Y,,67.0,7.3,,14.2,0.0,3.0,10.0,,99.0,0.0,80.0,0.0,8.1,12.0,16.6,10.0,01-04-2010,,,
3330Y,,65.0,8.8,,13.4,0.0,2.0,11.0,,103.0,0.0,67.4,0.0,10.7,13.7,18.6,9.0,01-04-2011,,,
3330Y,,75.0,4.3,,8.2,0.0,2.0,19.0,,82.0,0.0,69.6,0.0,6.6,8.3,12.4,12.0,01-04-2012,,,
3330Y,,69.0,5.0,,11.9,0.0,2.0,10.0,,86.0,0.0,63.0,2.0,6.6,9.5,14.0,8.0,01-04-2013,,,
3330Y,,70.0,7.8,,12.8,0.0,0.0,13.0,,107.0,0.0,31.4,0.0,9.6,12.9,17.9,9.0,01-04-2014,,,
3330Y,,63.0,6.6,,10.2,0.0,3.0,8.0,,89.0,0.0,56.4,0.0,7.3,11.6,16.5,6.0,01-04-2015,,,
3330Y,,74.0,5.6,,9.2,0.0,5.0,16.0,,88.0,1.0,127.8,0.0,7.3,9.5,13.3,13.0,01-04-2016,,,
3330Y,,49.0,6.5,,11.1,0.0,0.0,4.0,,77.0,0.0,20.4,0.0,11.1,12.8,19.1,4.0,01-04-2017,,,
3330Y,,75.0,5.3,,11.0,0.0,5.0,15.0,,94.0,0.0,110.6,0.0,4.5,9.8,14.3,12.0,01-04-2018,,,
3330Y,,71.0,4.9,,10.3,0.0,2.0,15.0,,86.0,1.0,88.0,0.0,6.2,9.7,14.4,13.0,01-04-2019,,,
3330Y,,81.0,7.2,,10.0,0.0,1.0,16.0,,110.0,0.0,60.8,0.0,10.7,11.1,15.0,10.0,01-04-2020,,,
3330Y,,71.0,6.4,,10.1,0.0,1.0,15.0,,95.0,0.0,55.4,1.0,10.6,10.9,15.3,10.0,01-04-2021,,,
3330Y,,68.0,5.0,,12.1,0.0,1.0,12.0,,87.0,1.0,55.0,3.0,5.2,9.9,14.7,9.0,01-04-2022,8.0,4.0,15.0
