indicativo,p_max,hr,tm_min,ta_max,ts_min,nt_30,np_100,np_001,ta_min,e,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3330Y,,,,,,,0.0,3.0,,,0.0,6.2,,,,,1.0,01-04-2023,3.0,10.0,17.0
3330Y,,58.0,6.6,,14.9,0.0,1.0,6.0,,86.0,0.0,32.6,0.0,8.6,12.2,17.7,6.0,01-04-2024,7.0,11.0,10.0
3330Y,,47.0,9.7,,16.2,0.0,1.0,2.0,,91.0,0.0,12.8,0.0,16.2,16.1,22.5,2.0,01-05-2009,,,
3330Y,,58.0,8.0,,14.6,0.0,1.0,6.0,,96.0,0.0,33.2,0.0,9.2,13.1,18.2,5.0,01-05-2010,,,
3330Y,,,,,,,1.0,9.0,,,0.0,22.6,,,,,5.0,01-05-2011,,,
3330Y,,55.0,10.1,,17.6,1.0,1.0,8.0,,104.0,0.0,29.2,0.0,10.6,16.0,21.7,5.0,01-05-2012,,,
3330Y,,59.0,6.8,,12.5,0.0,0.0,10.0,,89.0,0.0,20.4,0.0,6.1,11.9,17.0,7.0,01-05-2013,,,
3330Y,,49.0,8.6,,14.2,0.0,1.0,5.0,,89.0,0.0,22.4,0.0,13.3,14.7,20.8,4.0,01-05-2014,,,
3330Y,,,9.9,,18.0,1.0,0.0,1.0,,97.0,0.0,1.6,0.0,15.4,16.4,22.8,1.0,01-05-2015,,,
3330Y,,67.0,8.2,,11.8,0.0,5.0,11.0,,104.0,0.0,92.0,0.0,10.5,12.9,17.5,10.0,01-05-2016,,,
3330Y,,57.0,10.3,,16.2,1.0,1.0,5.0,,113.0,0.0,37.0,0.0,11.8,16.2,22.0,5.0,01-05-2017,,,
3330Y,,66.0,8.5,,11.7,0.0,1.0,10.0,,114.0,0.0,35.4,0.0,12.7,13.9,19.2,9.0,01-05-2018,,,
3330Y,,46.0,9.2,,14.4,0.0,0.0,4.0,,90.0,0.0,1.8,0.0,14.6,15.7,22.3,0.0,01-05-2019,,,
3330Y,,64.0,10.8,,16.2,0.0,1.0,7.0,,126.0,0.0,32.8,0.0,12.8,16.4,22.0,5.0,01-05-2020,,,
3330Y,,60.0,8.8,,14.7,0.0,1.0,9.0,,110.0,0.0,32.0,0.0,12.0,15.0,21.3,6.0,01-05-2021,,,
3330Y,,55.0,10.9,,15.7,1.0,1.0,3.0,,116.0,0.0,24.4,0.0,14.2,17.1,23.3,3.0,01-05-2022,8.0,9.0,14.0
3330Y,,,,,,,2.0,10.0,,,0.0,60.4,,,,,8.0,01-05-2023,11.0,3.0,17.0
3330Y,,55.0,8.2,,16.0,2.0,1.0,8.0,,98.0,0.0,31.0,0.0,11.0,14.4,20.6,6.0,01-05-2024,8.0,8.0,15.0
3330Y,,44.0,14.1,,20.1,12.0,0.0,4.0,,110.0,0.0,12.0,0.0,14.8,20.6,27.0,2.0,01-06-2009,,,
3330Y,,57.0,12.6,,16.3,2.0,3.0,13.0,,126.0,0.0,69.8,0.0,14.0,18.3,24.0,8.0,01-06-2010,,,
3330Y,,46.0,13.0,,19.2,9.0,0.0,3.0,,115.0,0.0,11.0,0.0,17.7,19.8,26.5,2.0,01-06-2011,,,
3330Y,,41.0,14.2,,23.0,7.0,0.0,0.0,,103.0,0.0,0.0,0.0,21.4,20.7,27.1,0.0,01-06-2012,,,
3330Y,,48.0,11.3,,17.4,2.0,0.0,4.0,,103.0,0.0,7.2,0.0,13.4,18.0,24.7,3.0,01-06-2013,,,
3330Y,,44.0,12.3,,16.4,2.0,0.0,4.0,,104.0,0.0,4.2,0.0,20.4,18.7,25.1,1.0,01-06-2014,,,
3330Y,,,,,,,,,,,,,,,,,,01-06-2015,,,
3330Y,,46.0,12.6,,17.7,6.0,0.0,2.0,,119.0,0.0,0.8,0.0,16.0,19.6,26.6,0.0,01-06-2016,,,
3330Y,,41.0,15.4,,21.8,16.0,0.0,2.0,,121.0,0.0,4.0,0.0,19.5,22.6,29.7,2.0,01-06-2017,,,
3330Y,,57.0,12.8,,18.9,7.0,0.0,9.0,,132.0,0.0,18.2,0.0,14.2,19.0,25.1,5.0,01-06-2018,,,
3330Y,,37.0,12.7,,21.1,8.0,0.0,1.0,,93.0,0.0,0.6,0.0,18.4,19.9,27.0,0.0,01-06-2019,,,
3330Y,,48.0,12.4,,18.8,8.0,0.0,5.0,,118.0,0.0,7.4,0.0,15.4,19.3,26.2,2.0,01-06-2020,,,
3330Y,,52.0,12.7,,16.6,7.0,2.0,10.0,,121.0,0.0,50.4,0.0,15.0,19.4,26.0,8.0,01-06-2021,,,
3330Y,,44.0,14.1,,21.1,11.0,0.0,4.0,,117.0,0.0,2.8,0.0,20.4,21.2,28.4,1.0,01-06-2022,4.0,8.0,18.0
3330Y,,58.0,14.6,,21.2,6.0,2.0,8.0,,142.0,1.0,68.2,0.0,17.2,20.2,25.7,7.0,01-06-2023,12.0,6.0,12.0
3330Y,,54.0,12.5,,17.2,4.0,1.0,8.0,,126.0,0.0,36.6,0.0,17.7,19.2,25.9,6.0,01-06-2024,9.0,9.0,12.0
3330Y,,31.0,16.0,,19.0,18.0,0.0,2.0,,94.0,0.0,0.4,0.0,24.7,23.1,30.2,0.0,01-07-2009,,,
3330Y,,37.0,17.6,,21.8,24.0,0.0,1.0,,126.0,0.0,3.2,0.0,26.6,24.6,31.6,1.0,01-07-2010,,,
3330Y,,37.0,14.9,,19.4,14.0,0.0,0.0,,106.0,0.0,0.0,0.0,22.9,22.1,29.1,0.0,01-07-2011,,,
3330Y,,32.0,15.4,,21.3,18.0,1.0,3.0,,94.0,1.0,45.0,0.0,23.4,22.8,30.1,2.0,01-07-2012,,,
3330Y,,36.0,16.5,,20.0,25.0,0.0,3.0,,113.0,0.0,5.4,0.0,21.0,23.9,31.2,2.0,01-07-2013,,,
3330Y,,41.0,14.7,,19.7,12.0,0.0,3.0,,111.0,0.0,12.8,0.0,20.8,21.6,28.4,2.0,01-07-2014,,,
3330Y,,,,,,,,,,,,,,,,,,01-07-2015,,,
3330Y,,36.0,16.9,,20.8,24.0,0.0,3.0,,121.0,0.0,12.6,0.0,25.8,24.5,32.0,2.0,01-07-2016,,,
3330Y,,38.0,16.0,,21.0,18.0,2.0,2.0,,113.0,2.0,107.0,0.0,20.1,23.2,30.4,2.0,01-07-2017,,,
3330Y,,41.0,15.2,,17.7,21.0,0.0,0.0,,120.0,0.0,0.0,0.0,24.1,22.7,30.2,0.0,01-07-2018,,,
3330Y,,35.0,17.4,,23.8,23.0,0.0,6.0,,114.0,0.0,6.8,0.0,24.3,24.5,31.6,3.0,01-07-2019,,,
3330Y,,32.0,17.8,,22.2,30.0,0.0,3.0,,116.0,0.0,8.6,0.0,29.7,25.8,33.7,1.0,01-07-2020,,,
3330Y,,36.0,15.6,,21.3,17.0,0.0,1.0,,110.0,0.0,1.0,0.0,19.6,23.0,30.3,1.0,01-07-2021,,,
3330Y,,29.0,18.8,,23.2,30.0,0.0,1.0,,110.0,0.0,0.2,0.0,29.4,26.8,34.7,0.0,01-07-2022,0.0,17.0,14.0
3330Y,,31.0,17.3,,23.6,23.0,0.0,0.0,,103.0,0.0,0.0,0.0,28.1,24.4,31.5,0.0,01-07-2023,2.0,16.0,13.0
3330Y,,32.0,17.3,,21.4,25.0,0.0,1.0,,108.0,0.0,4.2,0.0,26.9,25.1,32.8,1.0,01-07-2024,1.0,22.0,8.0
3330Y,,33.0,17.6,,20.3,24.0,0.0,2.0,,106.0,0.0,5.6,0.0,25.1,24.5,31.4,1.0,01-08-2009,,,
3330Y,,38.0,16.8,,21.9,21.0,0.0,1.0,,116.0,0.0,2.4,0.0,24.5,23.8,30.7,1.0,01-08-2010,,,
3330Y,,41.0,16.1,,20.6,14.0,0.0,6.0,,117.0,0.0,9.4,0.0,23.6,22.9,29.7,3.0,01-08-2011,,,
3330Y,,33.0,16.7,,23.4,16.0,0.0,2.0,,98.0,0.0,0.6,0.0,20.4,23.6,30.4,0.0,01-08-2012,,,
3330Y,,33.0,16.4,,19.5,20.0,0.0,1.0,,103.0,0.0,0.8,0.0,24.8,23.9,31.3,0.0,01-08-2013,,,
3330Y,,39.0,15.6,,18.3,14.0,0.0,1.0,,112.0,0.0,0.2,0.0,22.4,22.4,29.2,0.0,01-08-2014,,,
3330Y,,40.0,16.3,,21.1,17.0,0.0,3.0,,112.0,0.0,12.2,0.0,21.7,23.2,30.1,2.0,01-08-2015,,,
3330Y,,35.0,16.9,,21.1,26.0,0.0,0.0,,113.0,0.0,0.0,0.0,26.8,24.3,31.7,0.0,01-08-2016,,,
3330Y,,38.0,16.5,,20.8,20.0,2.0,2.0,,113.0,0.0,41.8,0.0,18.8,23.2,30.0,2.0,01-08-2017,,,
3330Y,,35.0,17.3,,22.9,29.0,1.0,1.0,,115.0,0.0,15.6,0.0,27.0,25.0,32.7,1.0,01-08-2018,,,
3330Y,,39.0,16.6,,19.7,21.0,0.0,3.0,,113.0,0.0,7.8,0.0,23.3,23.4,30.2,3.0,01-08-2019,,,
3330Y,,39.0,16.1,,21.0,19.0,1.0,2.0,,114.0,0.0,22.8,0.0,20.1,23.3,30.5,2.0,01-08-2020,,,
3330Y,,35.0,17.0,,24.7,21.0,1.0,1.0,,112.0,0.0,16.8,0.0,26.3,24.6,32.1,1.0,01-08-2021,,,
3330Y,,35.0,18.2,,22.2,22.0,0.0,4.0,,118.0,0.0,5.4,0.0,25.4,25.3,32.3,2.0,01-08-2022,1.0,16.0,14.0
3330Y,,26.0,18.0,,23.5,24.0,0.0,0.0,,89.0,0.0,0.0,0.0,22.4,25.3,32.6,0.0,01-08-2023,1.0,21.0,9.0
3330Y,,32.0,18.9,,21.8,25.0,1.0,4.0,,111.0,0.0,13.2,0.0,26.4,26.1,33.3,2.0,01-08-2024,4.0,20.0,6.0
3330Y,,51.0,13.2,,19.3,2.0,0.0,8.0,,110.0,0.0,19.6,0.0,12.0,18.9,24.5,8.0,01-09-2009,,,
3330Y,,52.0,13.4,,18.4,6.0,1.0,3.0,,115.0,0.0,22.6,0.0,19.4,19.3,25.1,3.0,01-09-2010,,,
3330Y,,41.0,13.7,,17.7,6.0,0.0,0.0,,96.0,0.0,0.0,0.0,22.5,20.3,26.9,0.0,01-09-2011,,,
3330Y,,48.0,13.4,,18.0,3.0,4.0,5.0,,100.0,2.0,139.0,0.0,14.0,19.1,24.7,5.0,01-09-2012,,,
3330Y,,51.0,14.0,,16.4,3.0,1.0,6.0,,112.0,1.0,58.6,0.0,15.4,20.2,26.3,6.0,01-09-2013,,,
3330Y,,62.0,13.6,,19.4,2.0,4.0,12.0,,130.0,0.0,83.6,0.0,17.6,18.8,24.0,8.0,01-09-2014,,,
3330Y,,51.0,11.9,,16.1,0.0,0.0,7.0,,101.0,0.0,12.0,0.0,15.3,17.9,23.7,5.0,01-09-2015,,,
3330Y,,42.0,13.7,,21.8,11.0,0.0,1.0,,99.0,0.0,3.2,0.0,17.1,20.5,27.3,1.0,01-09-2016,,,
3330Y,,43.0,12.2,,16.6,1.0,0.0,0.0,,96.0,0.0,0.0,0.0,17.8,18.9,25.6,0.0,01-09-2017,,,
3330Y,,51.0,15.3,,19.5,10.0,0.0,2.0,,131.0,0.0,7.4,0.0,19.4,21.9,28.4,2.0,01-09-2018,,,
3330Y,,53.0,13.8,,19.6,3.0,3.0,7.0,,117.0,0.0,56.0,0.0,16.6,19.4,25.0,7.0,01-09-2019,,,
3330Y,,51.0,12.8,,16.7,6.0,2.0,7.0,,110.0,1.0,73.0,0.0,15.5,18.9,25.0,6.0,01-09-2020,,,
3330Y,,63.0,13.2,,19.6,1.0,4.0,8.0,,133.0,1.0,94.8,0.0,17.5,18.4,23.6,5.0,01-09-2021,,,
3330Y,,56.0,13.3,,17.6,3.0,1.0,7.0,,121.0,0.0,60.8,0.0,14.3,18.9,24.6,6.0,01-09-2022,9.0,7.0,14.0
3330Y,,63.0,13.5,,16.9,0.0,0.0,9.0,,132.0,0.0,19.4,0.0,15.2,18.6,23.6,7.0,01-09-2023,12.0,10.0,8.0
3330Y,,,,,,,0.0,6.0,,,0.0,11.8,,,,,4.0,01-09-2024,4.0,11.0,15.0
3330Y,,60.0,10.5,,16.5,0.0,3.0,4.0,,107.0,0.0,57.8,0.0,9.3,16.0,21.4,3.0,01-10-2009,,,
3330Y,,60.0,7.8,,13.7,0.0,3.0,7.0,,87.0,0.0,70.4,0.0,8.5,12.7,17.6,6.0,01-10-2010,,,
3330Y,,51.0,10.3,,17.9,1.0,2.0,6.0,,86.0,0.0,44.0,0.0,11.2,16.0,21.7,4.0,01-10-2011,,,
3330Y,,72.0,8.9,,15.6,0.0,2.0,8.0,,110.0,0.0,50.0,1.0,6.3,13.2,17.4,6.0,01-10-2012,,,
3330Y,,76.0,9.9,,15.6,0.0,4.0,9.0,,123.0,1.0,84.8,0.0,11.6,14.1,18.2,6.0,01-10-2013,,,
3330Y,,,12.0,,15.3,0.0,4.0,8.0,,128.0,1.0,106.8,0.0,12.0,16.0,19.9,7.0,01-10-2014,,,
3330Y,,,,,,,,,,,,,,,,,,01-10-2015,,,
3330Y,,67.0,10.6,,14.0,0.0,4.0,12.0,,109.0,0.0,119.4,0.0,11.3,15.3,20.0,12.0,01-10-2016,,,
3330Y,,50.0,10.7,,15.8,0.0,1.0,2.0,,92.0,0.0,19.6,0.0,12.9,17.1,23.5,2.0,01-10-2017,,,
3330Y,,67.0,9.0,,13.9,0.0,1.0,14.0,,102.0,0.0,70.0,0.0,6.6,13.9,18.8,12.0,01-10-2018,,,
3330Y,,68.0,9.7,,15.5,0.0,0.0,9.0,,108.0,0.0,38.0,0.0,8.0,14.8,19.8,7.0,01-10-2019,,,
3330Y,,68.0,7.6,,12.2,0.0,5.0,9.0,,97.0,1.0,128.8,0.0,11.1,12.3,16.9,8.0,01-10-2020,,,
3330Y,,68.0,9.3,,13.6,0.0,2.0,6.0,,111.0,1.0,90.4,0.0,13.5,14.6,19.8,3.0,01-10-2021,6.0,13.0,12.0
3330Y,,65.0,11.9,,15.2,0.0,2.0,10.0,,117.0,1.0,92.8,0.0,13.0,16.7,21.4,8.0,01-10-2022,12.0,4.0,15.0
3330Y,,71.0,11.3,,16.3,1.0,5.0,17.0,,115.0,1.0,205.8,0.0,9.8,15.7,20.1,15.0,01-10-2023,10.0,10.0,11.0
3330Y,,82.0,10.1,,15.3,0.0,6.0,16.0,,130.0,1.0,140.4,0.0,8.9,14.0,17.7,11.0,01-10-2024,17.0,1.0,13.0
3330Y,,75.0,6.2,,12.6,0.0,0.0,6.0,,91.0,0.0,17.6,0.0,6.4,9.9,13.4,5.0,01-11-2009,,,
3330Y,,77.0,3.3,,10.0,0.0,2.0,10.0,,78.0,0.0,52.8,6.0,0.2,7.0,10.6,7.0,01-11-2010,,,
3330Y,,83.0,6.4,,11.7,0.0,6.0,15.0,,98.0,0.0,98.6,0.0,8.0,9.4,12.4,12.0,01-11-2011,,,
3330Y,,83.0,5.1,,10.5,0.0,6.0,12.0,,94.0,1.0,152.2,0.0,5.0,8.0,10.9,11.0,01-11-2012,,,
3330Y,,71.0,3.9,,11.6,0.0,1.0,4.0,,78.0,0.0,11.6,6.0,4.5,7.6,11.2,1.0,01-11-2013,,,
3330Y,,,,,,,,,,,,,,,,,,01-11-2014,,,
3330Y,,,,,,,,,,,,,,,,,,01-11-2015,,,
3330Y,,82.0,4.4,,10.5,0.0,6.0,15.0,,88.0,2.0,169.4,0.0,3.7,8.0,11.5,10.0,01-11-2016,,,
3330Y,,61.0,4.8,,9.5,0.0,1.0,4.0,,72.0,0.0,22.0,2.0,6.0,9.4,14.0,4.0,01-11-2017,,,
3330Y,,88.0,5.6,,10.3,0.0,2.0,20.0,,97.0,1.0,137.2,0.0,6.8,8.3,10.9,18.0,01-11-2018,,,
3330Y,,82.0,5.0,,12.7,0.0,2.0,18.0,,90.0,0.0,57.8,0.0,6.2,7.7,10.4,14.0,01-11-2019,,,
3330Y,,85.0,6.7,,10.5,0.0,4.0,14.0,,105.0,1.0,144.2,0.0,8.4,10.1,13.4,11.0,01-11-2020,,,
3330Y,,72.0,3.3,,8.0,0.0,,,,73.0,,,0.0,3.9,7.3,11.3,,01-11-2021,6.0,10.0,14.0
3330Y,,83.0,6.3,,10.7,0.0,4.0,19.0,,102.0,1.0,113.0,0.0,10.1,9.8,13.2,15.0,01-11-2022,17.0,3.0,10.0
3330Y,,85.0,6.7,,10.9,0.0,2.0,15.0,,106.0,1.0,111.0,0.0,7.6,10.1,13.5,11.0,01-11-2023,6.0,7.0,17.0
3330Y,,85.0,7.3,,10.8,0.0,0.0,11.0,,111.0,0.0,28.4,0.0,8.7,11.0,14.6,6.0,01-11-2024,10.0,4.0,16.0
3330Y,,87.0,1.6,,10.1,0.0,7.0,18.0,,78.0,1.0,180.0,10.0,1.7,4.7,7.8,16.0,01-12-2009,,,
3330Y,,78.0,1.6,,9.4,0.0,7.0,22.0,,71.0,2.0,176.6,12.0,1.9,4.8,7.9,12.0,01-12-2010,,,
3330Y,,73.0,2.3,,6.0,0.0,0.0,7.0,,69.0,0.0,9.6,6.0,3.5,6.3,10.2,5.0,01-12-2011,,,
3330Y,,86.0,2.5,,7.6,0.0,0.0,15.0,,80.0,0.0,28.2,8.0,2.0,5.6,8.7,8.0,01-12-2012,,,
3330Y,,74.0,1.2,,5.4,0.0,2.0,11.0,,65.0,0.0,67.6,11.0,4.2,5.2,9.2,7.0,01-12-2013,,,
3330Y,,73.0,2.3,,7.0,0.0,0.0,2.0,,68.0,0.0,9.4,3.0,7.5,6.4,10.4,1.0,01-12-2014,,,
3330Y,,,,,,,,,,,,,,,,,,01-12-2015,,,
3330Y,,80.0,3.7,,8.2,0.0,4.0,9.0,,81.0,0.0,68.8,3.0,4.6,7.3,10.8,5.0,01-12-2016,,,
3330Y,,73.0,2.3,,7.9,0.0,1.0,10.0,,68.0,0.0,34.6,7.0,4.9,5.8,9.3,7.0,01-12-2017,,,
3330Y,,,,,,,,,,,,,,,,,,01-12-2018,,,
3330Y,,84.0,4.1,,8.7,0.0,3.0,10.0,,87.0,0.0,92.0,0.0,5.6,7.7,11.2,7.0,01-12-2019,,,
3330Y,,84.0,2.3,,9.5,0.0,1.0,17.0,,78.0,0.0,51.0,8.0,3.4,5.2,8.1,11.0,01-12-2020,,,
3330Y,,82.0,4.3,,8.6,0.0,2.0,8.0,,86.0,0.0,37.8,0.0,6.3,7.7,10.9,5.0,01-12-2021,9.0,9.0,12.0
3330Y,,95.0,5.3,,9.1,0.0,5.0,14.0,,102.0,2.0,190.4,0.0,5.8,7.8,10.2,13.0,01-12-2022,14.0,4.0,13.0
3330Y,,77.0,3.0,,9.1,0.0,1.0,8.0,,75.0,0.0,22.6,3.0,6.0,6.7,10.4,3.0,01-12-2023,10.0,13.0,8.0
