indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,fecha,glo
2462,,,92.0,2,26,2.6,821.8(22),18.0,1015.8,812.2,5.0,,10.1,0,,,,8,,24.0,2.0,9.9,22,,402.0,98.0,3,,,297.0,19,2,,16.0,4,0.2,2,7.9,10.8,,,800.8(09),17,01-10-2024,24193.0
2462,,14.0,81.0,0,17,4.4,822.9(01),7.0,1023.1,812.7,-2.8,,4.4,0,2.0,8.0,,1,8.0,44.0,0.0,3.4,8,,277.0,51.0,0,12.0,218.0,39.3,1,2,2.8,12.0,21,-5.2,9,0.5,3.7,1.0,4.8,802.9(09),7,01-11-2001,
2462,,23.0,93.0,0,26,2.1,820.5(30),15.0,1015.8,808.1,-0.7,,4.8,0,4.0,0.0,,8,7.0,21.0,2.0,5.1,24,,430.0,65.0,3,20.0,186.0,229.7,10,0,3.5,18.0,19,-1.0,14,1.8,4.2,0.0,6.0,783.7(14),19,01-11-2002,
2462,,17.0,86.0,1,21,3.2,819.3(13),14.0,1016.7,809.8,0.5,,6.4,0,2.0,4.0,,9,9.0,32.0,1.0,,18,,410.0,66.0,3,17.0,,270.1,11,1,,16.0,12,-0.2,6,3.4,6.2,2.0,,788.2(01),14,01-11-2003,
2462,,9.0,74.0,0,15,5.1,820.6(17),3.0,1021.3,813.3,0.0,,4.4,0,1.0,11.0,,4,10.0,52.0,0.0,5.0,10,,283.0,55.0,0,13.0,478.0,65.6,6,0,3.7,10.0,12,-2.2,4,3.3,6.6,0.0,5.8,798.2(30),7,01-11-2004,
2462,,17.0,89.0,0,25,2.6,821.8(10),0.0,1019.0,809.7,-2.1,,3.8,0,3.0,3.0,,5,10.0,26.0,0.0,,16,,,57.0,1,18.0,134.0,119.6,5,0,,11.0,21,-5.3,12,0.6,3.2,1.0,,792.3(26),11,01-11-2005,
2462,,16.0,89.0,0,24,3.3,823.7(11),13.0,1020.4,813.7,2.4,,7.5,0,5.0,5.0,,9,9.0,33.0,3.0,7.1,20,,470.0,76.0,3,16.0,199.0,361.6,17,0,5.8,18.0,8,2.4,3,4.9,7.5,0.0,7.7,795.8(24),18,01-11-2006,
2462,,7.0,58.0,0,12,6.0,821.6(06),,1019.4,812.3,0.8,,6.3,0,0.0,15.0,,2,5.0,60.0,,5.9,3,,,44.0,1,9.0,474.0,77.7,1,0,4.3,7.0,15,-1.6,4,4.6,8.3,0.0,6.6,797.1(20),3,01-11-2007,
2462,,16.0,88.0,1,23,2.9,821.3(09),2.0,1019.6,809.6,-2.9,,3.2,0,1.0,6.0,,2,8.0,29.0,0.0,4.4,13,,249.0,53.0,0,20.0,81.0,70.9,3,1,2.8,11.0,26,-6.1,10,-0.3,2.3,2.0,,788.6(29),10,01-11-2008,
2462,,,,0,17,,,,,,0.6,,8.7,0,,,,3,,,,,17,,,,0,,,93.7,10,0,,,16,-3.8,8,3.4,6.2,,,,16,01-11-2009,
2462,,17.0,92.0,0,21,2.9,823.6(04),9.0,1013.8,805.4,-2.2,,6.9,0,1.0,3.0,,4,10.0,29.0,2.0,,14,,346.0,59.0,0,17.0,140.0,105.7,5,0,,15.0,24,-5.2,12,0.4,3.0,3.0,,785.6(09),14,01-11-2010,
2462,,18.0,88.0,1,21,2.7,822.6(25),,1017.5,810.5,1.4,,5.7,0,4.0,5.0,,10,7.0,28.0,,,16,,,68.0,4,13.0,261.0,288.4,4,0,,16.0,9,-0.2,11,3.6,5.8,3.0,,791.4(04),13,01-11-2011,
2462,,22.0,94.0,0,22,1.8,815.8(06),16.0,1015.9,808.2,-0.7,,5.4,0,0.0,1.0,,10,6.0,18.0,0.0,3.7,23,,433.0,67.0,1,19.0,68.0,219.7,14,1,,17.0,15,-4.3,9,1.9,4.5,3.0,,796.3(30),18,01-11-2012,
2462,,16.0,94.0,0,23,2.9,820.9(10),,1021.9,812.2,-2.0,,6.3,0,0.0,4.0,,4,10.0,29.0,,4.4,16,,,63.0,0,21.0,147.0,78.3,7,0,,16.0,19,-4.0,10,0.6,3.3,1.0,,800.3(21),10,01-11-2013,20105.0
2462,,22.0,93.0,0,24,1.8,819.4(01),20.0,1011.1,805.2,0.8,,7.4,0,0.0,0.0,,7,8.0,18.0,2.0,4.8,25,,434.0,71.0,4,21.0,156.0,319.5,11,0,,18.0,16,-0.4,15,3.3,5.7,1.0,,781.3(28),20,01-11-2014,15238.0
2462,,10.0,71.0,0,12,5.3,827.4(09),10.0,1024.9,818.2,3.4,,11.7,0,0.0,11.0,,3,9.0,53.0,3.0,5.5,11,,334.0,65.0,1,10.0,679.0,126.8,6,0,,13.0,7,-3.1,5,6.6,9.7,2.0,,804.2(02),9,01-11-2015,26619.0
2462,,17.0,88.0,0,21,2.8,820.4(15),12.0,1017.5,809.6,-0.3,,6.9,0,1.0,3.0,,7,10.0,28.0,1.0,4.4,19,,373.0,62.0,4,15.0,238.0,259.7,7,0,,15.0,18,-2.9,13,2.2,4.6,5.0,,796.0(21),16,01-11-2016,18371.0
2462,,10.0,69.0,0,14,4.7,821.8(10),9.0,1021.3,813.7,0.8,,5.8,0,0.0,7.0,,2,13.0,48.0,0.0,,11,,331.0,53.0,0,9.0,445.0,45.8,8,0,,13.0,13,-4.6,3,3.9,7.0,2.0,,801.0(29),7,01-11-2017,23859.0
2462,,18.0,91.0,0,24,2.0,818.6(13),19.0,1016.1,808.5,0.1,,4.3,0,0.0,0.0,,9,12.0,20.0,1.0,3.4,24,,443.0,65.0,1,21.0,101.0,278.3,11,0,,18.0,18,0.1,14,2.2,4.3,3.0,,795.6(20),22,01-11-2018,15801.0
2462,,29.0,99.0,1,30,0.6,818.6(01),24.0,1013.6,805.6,-1.5,,8.3,0,0.0,0.0,,10,1.0,7.0,2.0,3.8,27,,437.0,66.0,1,24.0,,313.5,11,1,,18.0,21,-3.8,17,0.9,3.1,4.0,,788.7(23),24,01-11-2019,11869.0
2462,,15.0,77.0,0,16,4.0,826.5(19),9.0,1021.0,815.0,3.2,,8.4,0,0.0,5.0,,7,10.0,41.0,3.0,5.6,14,,347.0,70.0,2,12.0,801.0,166.7,11,1,,14.0,4,2.1,3,6.2,9.2,1.0,,800.2(28),11,01-11-2020,21988.0
2462,,18.0,89.0,0,25,3.3,818.0(18),10.0,1019.4,809.9,-2.0,,2.7,0,0.0,4.0,,3,8.0,34.0,0.0,4.2,17,,329.0,56.0,0,17.0,195.0,105.5,6,1,,13.0,20,-3.1,12,0.6,3.1,7.0,,797.6(27),14,01-11-2021,20581.0
2462,,,85.0,0,20,2.8,822.5(26),18.0,1019.7,812.9,1.4,,5.2,0,,,,9,,28.0,3.0,,20,,381.0,70.0,1,,,216.6,14,0,,16.0,9,-1.1,6,4.4,7.3,,,804.2(21),18,01-11-2022,18769.0
2462,,,84.0,0,21,3.4,822.3(18),12.0,1018.1,812.2,2.4,,9.3,0,,,,4,,35.0,3.0,,16,,343.0,75.0,1,,,139.8,9,0,,14.0,9,0.1,9,5.5,8.5,,,795.8(04),12,01-11-2023,19313.0
2462,,,86.0,0,21,3.5,822.7(30),9.0,1021.7,815.4,3.2,,7.8,0,,,,2,,36.0,2.0,6.5,14,,335.0,78.0,0,,,67.8,13,0,,14.0,4,2.8,1,5.9,8.6,,,805.3(13),6,01-11-2024,20154.0
2462,,6.0,56.0,0,8,5.5,822.5(05),9.0,1021.9,811.9,-2.7,,6.2,0,1.0,15.0,,1,10.0,59.0,0.0,,8,,363.0,34.0,0,4.0,445.0,35.4,2,0,,14.0,21,-6.4,7,0.8,4.2,0.0,,799.5(23),6,01-12-2001,
2462,,23.0,92.0,0,24,1.5,819.4(01),,1019.3,810.1,-1.2,,4.8,0,7.0,1.0,,9,7.0,16.0,,2.6,21,,,60.0,3,15.0,,253.1,9,0,1.6,16.0,20,-2.7,13,0.8,2.9,0.0,3.3,795.3(27),19,01-12-2002,
2462,,16.0,84.0,0,23,2.3,821.7(13),8.0,1020.8,810.7,-2.6,,4.6,0,1.0,3.0,,7,12.0,25.0,0.0,0.9,15,,335.0,50.0,3,21.0,316.0,232.9,2,0,0.2,14.0,23,-4.9,14,-0.1,2.5,0.0,1.9,796.3(01),12,01-12-2003,
2462,,16.0,91.0,0,20,2.5,823.0(31),,1022.1,811.2,-3.2,,0.5,0,2.0,4.0,,3,11.0,27.0,,2.7,14,,,53.0,2,16.0,69.0,118.4,3,0,1.4,14.0,28,-8.0,10,-0.7,1.7,0.0,3.5,789.0(01),7,01-12-2004,
2462,,14.0,83.0,0,23,2.9,819.3(22),0.0,1021.1,810.5,-3.4,,0.0,0,1.0,7.0,,6,10.0,32.0,0.0,1.7,15,,,47.0,1,17.0,89.0,135.2,3,0,0.5,13.0,31,-2.1,12,-0.7,2.1,4.0,2.5,794.9(02),9,01-12-2005,
2462,,12.0,84.0,0,18,3.7,829.0(31),8.0,1027.4,815.9,-2.8,,4.8,0,0.0,9.0,,4,10.0,40.0,0.0,,11,,338.0,51.0,0,17.0,94.0,98.3,4,0,,14.0,27,-4.6,9,0.1,2.9,0.0,,801.0(08),10,01-12-2006,
2462,,11.0,75.0,0,19,4.3,822.9(06),,1025.7,814.9,-2.3,,2.0,0,0.0,7.0,,1,13.0,46.0,,2.8,13,,,47.0,1,11.0,203.0,65.3,5,0,1.5,13.0,27,-2.4,8,0.7,3.7,3.0,3.6,804.7(18),8,01-12-2007,
2462,,20.0,81.0,0,24,2.3,825.2(20),,1019.5,809.3,-2.9,,5.7,0,0.0,6.0,,5,4.0,25.0,,2.4,18,,,45.0,2,23.0,202.0,172.3,3,0,1.3,16.0,23,-6.2,17,-0.6,1.7,0.0,,790.0(14),17,01-12-2008,
2462,,,85.0,0,20,1.6,818.9(09),17.0,1011.0,803.0,-3.7,,4.3,0,,,,8,,17.0,7.0,,19,,478.0,52.0,1,,,198.4,6,0,,20.0,22,-7.7,15,-0.3,3.0,,,783.9(23),18,01-12-2009,
2462,,17.0,82.0,0,19,2.6,820.4(10),8.0,1013.5,804.9,-3.1,,7.6,0,0.0,3.0,,7,11.0,28.0,3.0,,17,,413.0,52.0,3,17.0,225.0,228.4,10,0,,17.0,22,-6.8,7,0.1,3.3,2.0,,787.2(22),15,01-12-2010,
2462,,13.0,78.0,0,18,4.0,823.6(28),6.0,1026.9,816.7,-1.8,,4.2,0,0.0,8.0,,1,10.0,43.0,1.0,,12,,325.0,51.0,0,13.0,499.0,49.8,6,0,,12.0,22,-3.4,6,1.8,5.3,2.0,,808.0(16),8,01-12-2011,
2462,,17.0,79.0,0,19,2.9,823.6(27),,1022.3,812.7,-1.6,,7.2,0,0.0,4.0,,2,10.0,31.0,,1.8,16,,,52.0,0,16.0,245.0,72.9,7,0,,16.0,20,-4.9,8,1.1,3.8,0.0,,799.2(01),11,01-12-2012,18702.0
2462,,10.0,69.0,0,13,4.7,823.2(14),12.0,1024.9,814.8,-1.6,,3.1,0,0.0,13.0,,6,8.0,50.0,2.0,1.0,13,,355.0,45.0,1,12.0,306.0,123.1,3,0,,15.0,17,-3.7,11,1.6,4.8,0.0,,791.9(25),11,01-12-2013,22571.0
2462,,14.0,79.0,0,20,4.0,824.5(20),13.0,1025.8,815.1,-2.6,,5.8,0,0.0,8.0,,3,9.0,44.0,1.0,1.5,12,,365.0,49.0,1,15.0,209.0,97.3,0,0,,16.0,26,-4.4,14,0.2,3.0,2.0,,800.7(01),8,01-12-2014,19651.0
2462,,9.0,66.0,0,5,5.4,826.8(09),5.0,1028.9,820.5,2.3,,7.0,0,0.0,5.0,,1,17.0,58.0,0.0,,6,,345.0,55.0,0,4.0,820.0,24.7,6,0,,13.0,5,3.0,1,5.4,8.5,0.0,,811.5(14),6,01-12-2015,23293.0
2462,,11.0,76.0,0,20,4.9,827.3(24),10.0,1026.9,817.7,0.7,,6.1,0,0.0,6.0,,4,14.0,52.0,0.0,2.0,7,,336.0,55.0,1,15.0,490.0,86.8,5,0,,13.0,14,-1.5,3,3.5,6.1,2.0,,804.0(03),5,01-12-2016,23623.0
2462,,15.0,84.0,0,23,3.2,828.1(21),16.0,1025.8,814.8,-2.7,,2.1,0,0.0,8.0,,10,8.0,34.0,6.0,1.0,17,,376.0,51.0,0,19.0,110.0,186.6,8,0,,15.0,22,-5.7,9,0.1,3.0,2.0,,786.3(11),16,01-12-2017,16535.0
2462,,9.0,56.0,0,9,5.6,824.4(09),5.0,1025.9,818.1,1.5,,8.1,0,0.0,5.0,,1,17.0,60.0,0.0,2.0,10,,301.0,46.0,0,6.0,810.0,40.3,5,0,,13.0,13,-0.7,5,5.1,8.7,1.0,,800.1(13),8,01-12-2018,23636.0
2462,,14.0,76.0,0,16,3.8,824.1(31),12.0,1019.3,812.1,1.0,,7.8,0,1.0,4.0,,7,13.0,41.0,7.0,2.2,15,,405.0,55.0,2,14.0,,229.1,9,0,,17.0,16,0.0,9,3.7,6.4,1.0,,792.6(16),13,01-12-2019,18111.0
2462,,23.0,95.0,0,29,1.8,821.5(21),20.0,1017.4,807.7,-2.9,,4.2,0,0.0,0.0,,9,8.0,19.0,4.0,2.2,22,,400.0,58.0,2,28.0,0.0,301.3,9,0,,17.0,25,-4.7,16,-0.3,2.3,0.0,,788.7(04),20,01-12-2020,13255.0
2462,,18.0,78.0,0,20,3.1,822.6(31),19.0,1021.7,813.3,0.3,,8.2,0,0.0,4.0,,5,7.0,33.0,1.0,2.4,18,,477.0,55.0,0,17.0,,132.6,9,0,,20.0,14,-2.2,9,2.8,5.2,1.0,,800.7(25),16,01-12-2021,16964.0
2462,,,88.0,0,19,,823.4(27),14.0,1015.9,809.0,0.9,,5.3,0,,,,9,,,1.0,3.4,17,,413.0,67.0,1,,,203.2,12,0,,17.0,12,-1.3,6,3.0,5.1,,,794.4(15),15,01-12-2022,14677.0
2462,,,65.0,0,17,4.3,827.3(16),12.0,1024.0,815.6,0.4,,5.2,0,,,,1,,46.0,0.0,2.6,10,,290.0,48.0,1,,,61.4,8,0,,12.0,15,-1.4,3,3.7,7.0,,,794.5(01),7,01-12-2023,20031.0
2462,,,76.0,0,15,4.6,826.5(16),9.0,1027.9,817.7,-1.0,,6.3,0,,,,1,,50.0,0.0,2.7,10,,349.0,52.0,0,,,34.4,7,0,,14.0,21,-3.7,7,2.1,5.2,,,806.8(11),7,01-12-2024,20927.0
