indicativo,fecha,p_max,tm_min,ta_max,ts_min,nt_30,np_100,np_001,ta_min,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010,hr,e,n_cub,n_des,n_nub
3194Y,01-12-2013,,-2.3,,7.5,0.0,3.0,9.0,,1.0,78.2,24.0,7.1,4.9,11.9,6.0,71.0,61.0,,,
3194Y,01-12-2014,,-1.7,,3.8,0.0,1.0,5.0,,0.0,16.4,22.0,10.2,5.8,13.3,1.0,69.0,63.0,,,
3194Y,01-12-2015,,,,,,,,,,,,,,,,,,,,
3194Y,01-12-2016,,1.4,,9.4,0.0,1.0,12.0,,0.0,43.0,14.0,4.6,7.4,13.3,6.0,79.0,80.0,,,
3194Y,01-12-2017,,-1.0,,8.7,0.0,1.0,5.0,,0.0,27.8,20.0,5.7,5.6,12.1,4.0,70.0,65.0,,,
3194Y,01-12-2018,,0.7,,5.6,0.0,0.0,6.0,,0.0,11.2,16.0,7.9,7.1,13.5,2.0,78.0,77.0,,,
3194Y,01-12-2019,,3.6,,10.7,0.0,3.0,15.0,,2.0,109.8,5.0,7.1,8.5,13.4,9.0,78.0,86.0,,,
3194Y,01-12-2020,,2.6,,12.1,0.0,0.0,16.0,,0.0,20.0,7.0,7.0,6.8,10.9,9.0,75.0,78.0,,,
3194Y,01-12-2021,,2.5,,9.3,0.0,1.0,13.0,,0.0,36.4,9.0,10.1,8.3,14.0,6.0,75.0,83.0,8.0,7.0,15.0
3194Y,01-12-2022,,4.9,,11.5,0.0,7.0,20.0,,0.0,146.8,3.0,8.3,8.8,12.7,10.0,87.0,103.0,16.0,3.0,12.0
3194Y,01-12-2023,,0.4,,9.3,0.0,1.0,11.0,,0.0,28.0,18.0,8.4,6.5,12.6,4.0,77.0,75.0,9.0,15.0,7.0
3194Y,01-12-2024,,-0.3,,5.7,0.0,0.0,7.0,,0.0,5.6,22.0,8.0,6.8,13.8,2.0,72.0,72.0,5.0,11.0,15.0
