indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
3175,,16.0,82,0.0,0.0,3.1,956.3(20),5.0,1017.2,944.9,3.1,,8.6,0,0,2.0,,3.0,13.0,32.0,0.0,18.0,,292.0,85,0.0,0,382.0,67.5,19.0,0.0,12.0,7,5.0,0.0,7.1,11.0,0,929.1(28),13.0,01-01-2001
3175,,11.0,81,0.0,6.0,3.8,962.1(11),0.0,1027.9,954.7,1.9,,7.5,0,0,2.0,,1.0,18.0,39.0,0.0,10.0,,154.0,81,0.0,2,355.0,43.4,12.0,0.0,5.0,9,8.0,0.0,6.6,11.3,0,937.7(23),8.0,01-01-2002
3175,,8.0,75,0.0,2.0,5.3,962.3(15),6.0,1022.0,948.9,1.0,,10.2,0,0,11.0,,0.0,12.0,55.0,0.0,11.0,,346.0,72,0.0,1,755.0,36.8,12.0,0.0,15.0,13,4.9,0.0,5.8,10.6,0,930.1(05),8.0,01-01-2003
3175,,8.0,76,0.0,5.0,4.7,956.7(10),,1020.6,947.9,1.2,,10.3,0,0,7.0,,0.0,16.0,48.0,,3.0,,,77,0.0,3,551.0,4.4,6.0,0.0,10.0,14,8.6,0.0,6.7,12.2,0,938.1(26),1.0,01-01-2004
3175,,0.0,69,0.0,0.0,7.9,965.4(06),,1028.0,954.3,-2.7,,4.0,0,0,16.0,,0.0,15.0,81.0,,0.0,,,61,0.0,0,571.0,0.0,0.0,0.0,9.0,28,3.8,2.0,4.8,12.2,0,940.5(27),0.0,01-01-2005
3175,,10.0,81,0.0,0.0,4.2,959.4(11),2.0,1021.1,948.0,0.4,,4.5,0,0,4.0,,2.0,17.0,43.0,0.0,9.0,,219.0,73,0.0,0,352.0,40.4,8.0,0.0,8.0,12,2.6,1.0,4.9,9.5,0,936.9(06),4.0,01-01-2006
3175,,10.0,76,0.0,6.0,4.3,966.8(02),3.0,1027.4,954.0,1.2,,6.4,0,0,5.0,,0.0,16.0,45.0,0.0,3.0,,232.0,72,0.0,3,636.0,9.1,3.0,0.0,8.0,13,4.5,1.0,6.1,11.0,0,934.2(25),2.0,01-01-2007
3175,,8.0,79,0.0,3.0,5.1,964.3(27),2.0,1024.8,952.0,2.0,,8.4,0,0,10.0,,0.0,13.0,52.0,0.0,6.0,,211.0,83,0.0,0,934.0,22.9,9.0,0.0,7.0,9,7.9,0.0,7.6,13.2,0,924.3(03),6.0,01-01-2008
3175,,11.0,78,0.0,5.0,4.2,958.8(11),5.0,1017.5,944.5,0.3,,11.2,0,0,3.0,,0.0,17.0,44.0,0.0,14.0,,292.0,69,0.0,1,697.0,29.1,12.0,0.0,11.0,16,0.7,3.0,4.6,8.9,0,928.8(25),9.0,01-01-2009
3175,,10.0,79,0.0,3.0,3.8,953.3(15),6.0,1016.2,943.5,1.3,,7.6,0,0,3.0,,1.0,18.0,39.0,0.0,15.0,,287.0,73,0.0,2,743.0,55.0,9.0,0.0,,11,0.5,3.0,5.2,9.0,0,927.3(07),8.0,01-01-2010
3175,,13.0,79,0.0,6.0,4.4,959.0(17),0.0,1020.0,947.1,1.4,,8.5,0,0,10.0,,1.0,8.0,46.0,0.0,13.0,,211.0,77,0.0,2,466.0,29.9,12.0,0.0,,12,4.8,0.0,5.9,10.4,0,928.4(27),8.0,01-01-2011
3175,,4.0,74,0.0,0.0,7.3,966.0(19),2.0,1027.8,954.1,-1.8,,2.4,0,0,14.0,,0.0,13.0,76.0,0.0,2.0,,207.0,65,0.0,0,909.0,5.0,2.0,0.0,,27,4.4,0.0,5.3,12.4,0,939.8(16),2.0,01-01-2012
3175,,9.0,79,0.0,7.0,5.0,966.9(04),5.0,1021.7,948.6,0.4,,6.3,0,0,4.0,,0.0,18.0,51.0,0.0,11.0,,268.0,71,0.0,1,908.0,21.5,10.0,1.0,,15,2.5,2.0,5.2,10.0,0,910.8(19),4.0,01-01-2013
3175,,12.0,80,0.0,2.0,3.3,956.8(24),4.0,1016.1,944.0,3.3,,9.4,0,0,1.0,,2.0,18.0,34.0,1.0,16.0,,300.0,84,0.0,1,907.0,66.8,16.0,0.0,,4,7.7,0.0,7.4,11.4,0,923.9(18),12.0,01-01-2014
3175,,2.0,70,1.0,0.0,6.9,971.1(09),5.0,1025.7,952.1,-1.4,,9.8,0,0,13.0,,0.0,16.0,72.0,0.0,5.0,,252.0,62,0.0,0,1250.0,18.2,3.0,0.0,,25,4.0,1.0,5.2,11.9,0,922.3(31),3.0,01-01-2015
3175,,12.0,82,0.0,2.0,3.8,963.1(30),9.0,1022.7,950.1,3.3,,10.5,0,0,3.0,,1.0,16.0,39.0,0.0,11.0,,299.0,90,0.0,1,930.0,28.0,13.0,0.0,12.0,5,7.6,0.0,7.8,12.2,0,931.2(04),7.0,01-01-2016
3175,,6.0,72,0.0,4.0,5.9,958.7(07),6.0,1023.5,950.1,-1.3,,7.4,0,0,10.0,,0.0,15.0,61.0,0.0,3.0,,277.0,64,0.0,2,978.0,14.7,3.0,0.0,,22,4.4,0.0,4.8,10.8,0,936.3(27),2.0,01-01-2017
3175,,6.0,78,0.0,2.0,5.9,964.3(28),3.0,1024.1,951.1,0.7,,6.6,0,0,10.0,,2.0,15.0,61.0,0.0,7.0,,263.0,76,0.0,0,725.0,50.2,6.0,0.0,10.0,16,4.7,1.0,6.3,11.9,0,925.3(06),6.0,01-01-2018
3175,,4.0,67,0.0,2.0,7.2,962.1(05),8.0,1021.9,948.8,-1.9,,7.0,0,0,13.0,,0.0,14.0,75.0,0.0,4.0,,296.0,60,0.0,0,1263.0,14.6,4.0,0.0,12.0,24,5.0,0.0,5.4,12.8,0,925.9(31),3.0,01-01-2019
3175,,12.0,80,0.0,5.0,4.7,962.2(04),3.0,1027.0,953.6,0.5,,9.7,0,0,8.0,,1.0,11.0,49.0,1.0,9.0,,285.0,75,0.0,0,805.0,20.3,11.0,0.0,,16,4.6,0.0,5.9,11.2,0,944.4(25),4.0,01-01-2020
3175,,9.0,82,0.0,5.0,5.2,959.0(17),,1019.8,945.9,-2.5,,8.5,0,0,8.0,,0.0,13.0,54.0,,10.0,,,65,0.0,1,,35.1,7.0,1.0,11.0,20,0.0,3.0,2.7,7.9,0,930.7(09),9.0,01-01-2021
3175,,0.0,69,0.0,0.0,7.9,962.6(29),2.0,1030.0,955.9,-3.2,,2.4,0,0,20.0,,0.0,11.0,82.0,0.0,2.0,,223.0,56,0.0,0,1054.0,11.3,2.0,0.0,,27,6.3,0.0,4.6,12.3,0,949.0(09),2.0,01-01-2022
3175,,5.0,72,0.0,3.0,6.7,962.9(04),9.0,1024.1,950.8,-0.6,,7.7,0,0,13.0,,0.0,13.0,70.0,0.0,3.0,,320.0,68,0.0,2,1038.0,7.0,4.0,0.0,12.0,20,6.3,0.0,5.4,11.3,0,929.3(17),2.0,01-01-2023
3175,,12.0,83,0.0,3.0,4.4,966.9(24),1.0,1024.6,951.4,2.4,,10.8,0,1,3.0,,1.0,16.0,45.0,0.0,7.0,,224.0,88,0.0,0,605.0,47.5,10.0,0.0,,7,7.5,0.0,7.6,12.7,0,931.4(17),6.0,01-01-2024
3175,,3.0,68,0.0,1.0,6.8,964.9(11),4.0,1021.7,949.2,2.0,,7.2,0,0,9.0,,0.0,16.0,63.0,0.0,6.0,,284.0,74,0.0,0,610.0,20.8,7.0,0.0,11.0,7,9.5,1.0,7.8,13.6,0,930.7(27),3.0,01-02-2001
3175,,6.0,68,0.0,3.0,6.9,961.3(19),2.0,1024.1,951.6,1.4,,9.2,0,0,9.0,,0.0,13.0,64.0,0.0,4.0,,234.0,76,0.0,2,826.0,12.4,4.0,0.0,9.0,8,10.1,0.0,7.9,14.4,0,939.4(28),2.0,01-02-2002
3175,,9.0,72,0.0,0.0,5.3,957.8(28),3.0,1019.4,946.7,1.2,,7.9,0,0,6.0,,2.0,13.0,50.0,0.0,9.0,,235.0,71,0.0,0,573.0,53.9,9.0,0.0,10.0,11,3.2,1.0,6.4,11.5,0,933.0(19),5.0,01-02-2003
3175,,6.0,73,0.0,2.0,5.7,963.8(04),,1020.3,947.8,1.5,,8.6,0,0,10.0,,3.0,13.0,54.0,,9.0,,,76,0.0,1,652.0,67.8,6.0,0.0,7.0,12,5.5,2.0,7.6,13.5,0,923.3(21),6.0,01-02-2004
3175,,4.0,61,0.0,1.0,6.9,966.1(11),9.0,1019.7,946.6,-1.2,,3.6,0,0,13.0,,1.0,11.0,65.0,0.0,6.0,,379.0,54,0.0,0,887.0,33.4,2.0,0.0,15.0,19,3.7,3.0,4.7,10.7,0,930.9(22),4.0,01-02-2005
3175,,8.0,72,2.0,1.0,6.5,953.4(07),4.0,1016.0,943.5,-0.1,,7.0,0,0,10.0,,2.0,10.0,61.0,0.0,8.0,,296.0,69,0.0,0,744.0,45.5,5.0,1.0,11.0,18,6.2,3.0,6.3,12.6,0,925.4(26),3.0,01-02-2006
