fecha;mag007;mag008;mag012;mag020;mag030;mag035
2001-01-01;46.0;45.0;115.0;;;
2001-01-02;15.0;34.0;56.0;;;
2001-01-03;22.0;43.0;77.0;;;
2001-01-04;20.0;40.0;70.0;;;
2001-01-05;80.0;43.0;166.0;;;
2001-01-06;30.0;37.0;84.0;;;
2001-01-07;48.0;44.0;118.0;;;
2001-01-08;120.0;58.0;242.0;;;
2001-01-09;99.0;58.0;209.0;;;
2001-01-10;159.0;43.0;287.0;;;
2001-01-11;84.0;46.0;176.0;;;
2001-01-12;67.0;49.0;153.0;;;
2001-01-13;83.0;58.0;185.0;;;
2001-01-14;107.0;60.0;224.0;;;
2001-01-15;80.0;43.0;165.0;;;
2001-01-16;28.0;36.0;80.0;;;
2001-01-17;45.0;42.0;112.0;;;
2001-01-18;65.0;46.0;145.0;;;
2001-01-19;96.0;54.0;202.0;;;
2001-01-20;114.0;58.0;232.0;;;
2001-01-21;150.0;49.0;278.0;;;
2001-01-22;107.0;53.0;217.0;;;
2001-01-23;26.0;38.0;78.0;;;
2001-01-24;31.0;36.0;83.0;;;
2001-01-25;19.0;32.0;61.0;;;
2001-01-26;20.0;36.0;67.0;;;
2001-01-27;30.0;38.0;84.0;;;
2001-01-28;23.0;25.0;60.0;;;
2001-01-29;64.0;48.0;145.0;;;
2001-01-30;200.0;73.0;378.0;;;
2001-01-31;162.0;46.0;294.0;;;
2001-02-01;101.0;47.0;202.0;;;
2001-02-02;184.0;56.0;337.0;;;
2001-02-03;67.0;54.0;156.0;;;
2001-02-04;32.0;35.0;84.0;;;
2001-02-05;76.0;39.0;156.0;;;
2001-02-06;81.0;41.0;164.0;;;
2001-02-07;51.0;41.0;119.0;;;
2001-02-08;41.0;38.0;101.0;;;
2001-02-09;39.0;36.0;96.0;;;
2001-02-10;75.0;33.0;148.0;;;
2001-02-11;204.0;28.0;340.0;;;
2001-02-12;102.0;57.0;213.0;;;
2001-02-13;88.0;55.0;190.0;;;
2001-02-14;30.0;40.0;85.0;;;
2001-02-15;15.0;35.0;58.0;;;
2001-02-16;20.0;44.0;75.0;;;
2001-02-17;39.0;67.0;127.0;;;
2001-02-18;40.0;44.0;106.0;;;
2001-02-19;29.0;42.0;87.0;;;
2001-02-20;78.0;62.0;181.0;;;
2001-02-21;110.0;89.0;258.0;;;
2001-02-22;137.0;98.0;308.0;;;
2001-02-23;150.0;88.0;318.0;;;
2001-02-24;43.0;38.0;103.0;;;
2001-02-25;11.0;25.0;41.0;;;
2001-02-26;58.0;56.0;145.0;;;
2001-02-27;33.0;43.0;94.0;;;
2001-02-28;47.0;47.0;120.0;;;
2001-03-01;77.0;53.0;171.0;;;
2001-03-02;40.0;44.0;105.0;;;
2001-03-03;7.0;31.0;42.0;;;
2001-03-04;21.0;43.0;76.0;;;
2001-03-05;47.0;49.0;121.0;;;
2001-03-06;62.0;46.0;140.0;;;
2001-03-07;44.0;55.0;122.0;;;
2001-03-08;11.0;32.0;48.0;;;
2001-03-09;15.0;30.0;53.0;;;
2001-03-10;9.0;18.0;32.0;;;
2001-03-11;11.0;18.0;36.0;;;
2001-03-12;27.0;28.0;69.0;;;
2001-03-13;18.0;31.0;59.0;;;
2001-03-14;20.0;36.0;67.0;;;
2001-03-15;14.0;23.0;45.0;;;
2001-03-16;10.0;19.0;34.0;;;
2001-03-17;4.0;10.0;16.0;;;
2001-03-18;3.0;8.0;12.0;;;
2001-03-19;6.0;11.0;21.0;;;
2001-03-20;22.0;24.0;57.0;;;
2001-03-21;20.0;27.0;57.0;;;
2001-03-22;67.0;31.0;133.0;;;
2001-03-23;129.0;59.0;257.0;;;
2001-03-24;15.0;28.0;51.0;;;
2001-03-25;8.0;22.0;35.0;;;
2001-03-26;58.0;48.0;137.0;;;
2001-03-27;49.0;47.0;122.0;;;
2001-03-28;42.0;43.0;107.0;;;
2001-03-29;34.0;36.0;89.0;;;
2001-03-30;60.0;31.0;123.0;;;
2001-03-31;40.0;34.0;96.0;;;
2001-04-01;16.0;40.0;65.0;;;
2001-04-02;47.0;55.0;127.0;;;
2001-04-03;28.0;43.0;86.0;;;
2001-04-04;36.0;39.0;94.0;;;
2001-04-05;32.0;28.0;77.0;;;
2001-04-06;102.0;31.0;188.0;;;
2001-04-07;23.0;24.0;60.0;;;
2001-04-08;13.0;22.0;41.0;;;
2001-04-09;70.0;44.0;151.0;;;
2001-04-10;46.0;41.0;112.0;;;
2001-04-11;15.0;30.0;53.0;;;
2001-04-12;6.0;14.0;24.0;;;
2001-04-13;3.0;10.0;14.0;;;
2001-04-14;4.0;14.0;20.0;;;
2001-04-15;15.0;34.0;57.0;;;
2001-04-16;81.0;52.0;176.0;;;
2001-04-17;32.0;37.0;87.0;;;
2001-04-18;31.0;37.0;84.0;;;
2001-04-19;44.0;45.0;113.0;;;
2001-04-20;18.0;31.0;59.0;;;
2001-04-21;26.0;40.0;79.0;;;
2001-04-22;27.0;36.0;77.0;;;
2001-04-23;20.0;21.0;52.0;;;
2001-04-24;20.0;27.0;58.0;;;
2001-04-25;46.0;45.0;116.0;;;
2001-04-26;40.0;61.0;122.0;;;
2001-04-27;54.0;65.0;148.0;;;
2001-04-28;22.0;49.0;83.0;;;
2001-04-29;49.0;58.0;133.0;;;
2001-04-30;30.0;36.0;82.0;;;
2001-05-01;22.0;32.0;65.0;;;
2001-05-02;28.0;51.0;94.0;;;
2001-05-03;49.0;55.0;129.0;;;
2001-05-04;37.0;49.0;106.0;;;
2001-05-05;24.0;49.0;85.0;;;
2001-05-06;12.0;27.0;45.0;;;
2001-05-07;21.0;49.0;80.0;;;
2001-05-08;45.0;50.0;119.0;;;
2001-05-09;39.0;51.0;111.0;;;
2001-05-10;54.0;55.0;139.0;;;
2001-05-11;136.0;69.0;277.0;;;
2001-05-12;88.0;59.0;194.0;;;
2001-05-13;11.0;26.0;43.0;;;
2001-05-14;28.0;37.0;81.0;;;
2001-05-15;11.0;23.0;40.0;;;
2001-05-16;35.0;37.0;91.0;;;
2001-05-17;56.0;34.0;121.0;;;
2001-05-18;18.0;29.0;57.0;;;
2001-05-19;17.0;33.0;60.0;;;
2001-05-20;26.0;39.0;79.0;;;
2001-05-21;50.0;60.0;137.0;;;
2001-05-22;57.0;57.0;144.0;;;
2001-05-23;61.0;72.0;165.0;;;
2001-05-24;47.0;56.0;128.0;;;
2001-05-25;37.0;61.0;118.0;;;
2001-05-26;28.0;50.0;94.0;;;
2001-05-27;19.0;38.0;68.0;;;
2001-05-28;118.0;70.0;251.0;;;
2001-05-29;60.0;63.0;156.0;;;
2001-05-30;77.0;77.0;194.0;;;
2001-05-31;60.0;81.0;174.0;;;
2001-06-01;27.0;49.0;90.0;;;
2001-06-02;25.0;43.0;81.0;;;
2001-06-03;25.0;47.0;86.0;;;
2001-06-04;55.0;53.0;138.0;;;
2001-06-05;50.0;56.0;133.0;;;
2001-06-06;44.0;50.0;117.0;;;
2001-06-07;36.0;53.0;108.0;;;
2001-06-08;78.0;53.0;173.0;;;
2001-06-09;14.0;22.0;44.0;;;
2001-06-10;9.0;15.0;28.0;;;
2001-06-11;39.0;23.0;83.0;;;
2001-06-12;35.0;39.0;93.0;;;
2001-06-13;34.0;45.0;96.0;;;
2001-06-14;49.0;35.0;111.0;;;
2001-06-15;16.0;23.0;47.0;;;
2001-06-16;11.0;11.0;28.0;;;
2001-06-17;6.0;12.0;22.0;;;
2001-06-18;4.0;11.0;18.0;;;
2001-06-19;119.0;38.0;221.0;;;
2001-06-20;119.0;72.0;254.0;;;
2001-06-21;50.0;67.0;144.0;;;
2001-06-22;71.0;55.0;165.0;;;
2001-06-23;61.0;62.0;156.0;;;
2001-06-24;56.0;43.0;128.0;;;
2001-06-25;55.0;45.0;130.0;;;
2001-06-26;25.0;41.0;79.0;;;
2001-06-27;41.0;33.0;96.0;;;
2001-06-28;36.0;45.0;99.0;;;
2001-06-29;76.0;62.0;178.0;;;
2001-06-30;85.0;56.0;187.0;;;
2001-07-01;66.0;38.0;139.0;;;
2001-07-02;28.0;47.0;90.0;;;
2001-07-03;35.0;56.0;109.0;;;
2001-07-04;37.0;34.0;90.0;;;
2001-07-05;42.0;24.0;88.0;;;
2001-07-06;37.0;26.0;82.0;;;
2001-07-07;20.0;36.0;67.0;;;
2001-07-08;9.0;26.0;39.0;;;
2001-07-09;29.0;35.0;79.0;;;
2001-07-10;45.0;46.0;115.0;;;
2001-07-11;75.0;54.0;169.0;;;
2001-07-12;58.0;56.0;144.0;;;
2001-07-13;60.0;60.0;153.0;;;
2001-07-14;27.0;30.0;71.0;;;
2001-07-15;13.0;26.0;46.0;;;
2001-07-16;39.0;51.0;110.0;;;
2001-07-17;40.0;52.0;113.0;;;
2001-07-18;41.0;47.0;110.0;;;
2001-07-19;0.0;0.0;0.0;;;
2001-07-20;0.0;0.0;0.0;;;
2001-07-21;101.0;59.0;214.0;;;
2001-07-22;35.0;55.0;109.0;;;
2001-07-23;28.0;67.0;110.0;;;
2001-07-24;44.0;61.0;128.0;;;
2001-07-25;29.0;73.0;117.0;;;
2001-07-26;44.0;59.0;127.0;;;
2001-07-27;53.0;54.0;135.0;;;
2001-07-28;21.0;45.0;77.0;;;
2001-07-29;7.0;18.0;29.0;;;
2001-07-30;41.0;44.0;107.0;;;
2001-07-31;23.0;42.0;77.0;;;
2001-08-01;45.0;54.0;123.0;;;
2001-08-02;21.0;35.0;68.0;;;
2001-08-03;34.0;42.0;95.0;;;
2001-08-04;17.0;31.0;56.0;;;
2001-08-05;12.0;26.0;45.0;;;
2001-08-06;45.0;60.0;129.0;;;
2001-08-07;34.0;54.0;107.0;;;
2001-08-08;30.0;39.0;85.0;;;
2001-08-09;27.0;57.0;98.0;;;
2001-08-10;36.0;51.0;106.0;;;
2001-08-11;14.0;39.0;60.0;;;
2001-08-12;0.0;0.0;0.0;;;
2001-08-13;0.0;0.0;0.0;;;
2001-08-14;0.0;0.0;0.0;;;
2001-08-15;31.0;48.0;96.0;;;
2001-08-16;19.0;31.0;60.0;;;
2001-08-17;15.0;32.0;54.0;;;
2001-08-18;9.0;21.0;35.0;;;
2001-08-19;7.0;22.0;32.0;;;
2001-08-20;108.0;35.0;201.0;;;
2001-08-21;73.0;53.0;165.0;;;
2001-08-22;73.0;47.0;160.0;;;
2001-08-23;119.0;47.0;230.0;;;
2001-08-24;116.0;50.0;227.0;;;
2001-08-25;34.0;42.0;94.0;;;
2001-08-26;14.0;30.0;52.0;;;
2001-08-27;49.0;38.0;113.0;;;
2001-08-28;25.0;34.0;73.0;;;
2001-08-29;26.0;29.0;69.0;;;
2001-08-30;21.0;36.0;69.0;;;
2001-08-31;21.0;30.0;63.0;;;
2001-09-01;5.0;15.0;22.0;;;
2001-09-02;81.0;18.0;141.0;;;
2001-09-03;37.0;43.0;99.0;;;
2001-09-04;39.0;43.0;103.0;;;
2001-09-05;22.0;32.0;65.0;;;
2001-09-06;32.0;43.0;92.0;;;
2001-09-07;24.0;29.0;65.0;;;
2001-09-08;65.0;29.0;129.0;;;
2001-09-09;15.0;26.0;50.0;;;
2001-09-10;48.0;35.0;109.0;;;
2001-09-11;41.0;55.0;117.0;;;
2001-09-12;42.0;55.0;120.0;;;
2001-09-13;65.0;63.0;163.0;;;
2001-09-14;65.0;42.0;142.0;;;
2001-09-15;71.0;23.0;132.0;;;
2001-09-16;14.0;34.0;55.0;;;
2001-09-17;26.0;33.0;72.0;;;
2001-09-18;92.0;29.0;170.0;;;
2001-09-19;81.0;36.0;160.0;;;
2001-09-20;98.0;76.0;226.0;;;
