fecha;mag007;mag008;mag012;mag014
2010-04-18;4.0;22.0;27.0;80.0
2010-04-19;15.0;41.0;64.0;58.0
2010-04-20;11.0;31.0;47.0;65.0
2010-04-21;7.0;29.0;40.0;68.0
2010-04-22;7.0;27.0;38.0;80.0
2010-04-23;16.0;37.0;62.0;59.0
2010-04-24;8.0;24.0;36.0;68.0
2010-04-25;6.0;25.0;35.0;75.0
2010-04-26;6.0;27.0;37.0;77.0
2010-04-27;5.0;27.0;36.0;88.0
2010-04-28;6.0;24.0;33.0;97.0
2010-04-29;8.0;24.0;37.0;93.0
2010-04-30;7.0;23.0;34.0;86.0
2010-05-01;4.0;17.0;23.0;86.0
2010-05-02;4.0;15.0;21.0;81.0
2010-05-03;3.0;9.0;14.0;87.0
2010-05-04;3.0;6.0;11.0;103.0
2010-05-05;4.0;11.0;18.0;105.0
2010-05-06;7.0;21.0;32.0;84.0
2010-05-07;6.0;21.0;31.0;76.0
2010-05-08;4.0;16.0;22.0;64.0
2010-05-09;4.0;12.0;18.0;77.0
2010-05-10;7.0;19.0;30.0;80.0
2010-05-11;14.0;26.0;48.0;73.0
2010-05-12;5.0;17.0;24.0;86.0
2010-05-13;6.0;17.0;26.0;84.0
2010-05-14;5.0;13.0;21.0;87.0
2010-05-15;3.0;10.0;15.0;91.0
2010-05-16;4.0;12.0;17.0;84.0
2010-05-17;5.0;13.0;21.0;86.0
2010-05-18;5.0;18.0;26.0;88.0
2010-05-19;5.0;15.0;23.0;77.0
2010-05-20;3.0;13.0;18.0;106.0
2010-05-21;6.0;22.0;31.0;91.0
2010-05-22;6.0;27.0;37.0;92.0
2010-05-23;4.0;16.0;22.0;117.0
2010-05-24;5.0;15.0;22.0;105.0
2010-05-25;4.0;16.0;22.0;84.0
2010-05-26;6.0;17.0;26.0;78.0
2010-05-27;6.0;19.0;28.0;65.0
2010-05-28;4.0;12.0;18.0;72.0
2010-05-29;5.0;14.0;21.0;72.0
2010-05-30;5.0;18.0;25.0;68.0
2010-05-31;7.0;18.0;29.0;57.0
2010-06-01;7.0;18.0;28.0;61.0
2010-06-02;5.0;20.0;28.0;58.0
2010-06-03;4.0;16.0;22.0;75.0
2010-06-04;4.0;22.0;28.0;84.0
2010-06-05;4.0;18.0;24.0;82.0
2010-06-06;5.0;20.0;27.0;72.0
2010-06-07;6.0;17.0;25.0;75.0
2010-06-08;5.0;18.0;26.0;65.0
2010-06-09;5.0;18.0;25.0;54.0
2010-06-10;5.0;16.0;25.0;57.0
2010-06-11;5.0;15.0;22.0;62.0
2010-06-12;5.0;17.0;24.0;56.0
2010-06-13;3.0;10.0;15.0;65.0
2010-06-14;6.0;16.0;26.0;53.0
2010-06-15;4.0;10.0;16.0;62.0
2010-06-16;8.0;23.0;36.0;54.0
2010-06-17;5.0;24.0;32.0;75.0
2010-06-18;8.0;29.0;41.0;66.0
2010-06-19;3.0;11.0;16.0;86.0
2010-06-20;3.0;7.0;11.0;78.0
2010-06-21;4.0;20.0;26.0;73.0
2010-06-22;5.0;20.0;27.0;70.0
2010-06-23;7.0;28.0;38.0;73.0
2010-06-24;5.0;25.0;32.0;88.0
2010-06-25;9.0;27.0;42.0;91.0
2010-06-26;5.0;20.0;27.0;89.0
2010-06-27;4.0;15.0;20.0;92.0
2010-06-28;6.0;17.0;25.0;88.0
2010-06-29;5.0;17.0;25.0;93.0
2010-06-30;5.0;31.0;40.0;83.0
2010-07-01;5.0;27.0;35.0;89.0
2010-07-02;6.0;41.0;50.0;73.0
2010-07-03;4.0;20.0;26.0;93.0
2010-07-04;4.0;21.0;28.0;88.0
2010-07-05;5.0;20.0;28.0;86.0
2010-07-06;5.0;26.0;33.0;94.0
2010-07-07;7.0;28.0;38.0;89.0
2010-07-08;5.0;33.0;41.0;60.0
2010-07-09;6.0;35.0;44.0;95.0
2010-07-10;4.0;24.0;31.0;100.0
2010-07-11;5.0;26.0;34.0;88.0
