fecha;mag007;mag008;mag012;mag014
2009-12-01;0.0;0.0;0.0;0.0
2009-12-02;0.0;0.0;0.0;0.0
2009-12-03;0.0;0.0;0.0;0.0
2009-12-04;0.0;0.0;0.0;0.0
2009-12-05;0.0;0.0;0.0;0.0
2009-12-06;0.0;0.0;0.0;0.0
2009-12-07;0.0;0.0;0.0;0.0
2009-12-08;0.0;0.0;0.0;0.0
2009-12-09;0.0;0.0;0.0;0.0
2009-12-10;0.0;0.0;0.0;0.0
2009-12-11;107.0;85.0;250.0;10.0
2009-12-12;120.0;73.0;258.0;10.0
2009-12-13;3.0;23.0;28.0;55.0
2009-12-14;8.0;30.0;43.0;50.0
2009-12-15;70.0;81.0;187.0;21.0
2009-12-16;48.0;72.0;146.0;17.0
2009-12-17;11.0;52.0;69.0;37.0
2009-12-18;62.0;81.0;177.0;21.0
2009-12-19;11.0;37.0;54.0;44.0
2009-12-20;52.0;65.0;145.0;22.0
2009-12-21;74.0;71.0;186.0;21.0
2009-12-22;35.0;52.0;106.0;43.0
2009-12-23;4.0;30.0;37.0;59.0
2009-12-24;1.0;19.0;20.0;72.0
2009-12-25;4.0;31.0;37.0;55.0
2009-12-26;20.0;51.0;82.0;36.0
2009-12-27;42.0;59.0;124.0;26.0
2009-12-28;73.0;69.0;181.0;18.0
2009-12-29;6.0;41.0;50.0;47.0
2009-12-30;2.0;30.0;33.0;66.0
2009-12-31;1.0;19.0;20.0;73.0
2010-01-01;1.0;21.0;22.0;71.0
2010-01-02;17.0;47.0;73.0;36.0
2010-01-03;31.0;55.0;102.0;22.0
2010-01-04;25.0;56.0;93.0;24.0
2010-01-05;28.0;62.0;105.0;29.0
2010-01-06;3.0;34.0;38.0;44.0
2010-01-07;5.0;32.0;40.0;49.0
2010-01-08;5.0;29.0;37.0;61.0
2010-01-09;2.0;32.0;35.0;54.0
2010-01-10;13.0;45.0;65.0;36.0
2010-01-11;23.0;54.0;90.0;41.0
2010-01-12;66.0;66.0;168.0;18.0
2010-01-13;32.0;55.0;105.0;32.0
2010-01-14;1.0;22.0;24.0;75.0
2010-01-15;65.0;73.0;173.0;28.0
2010-01-16;11.0;46.0;62.0;29.0
2010-01-17;41.0;39.0;101.0;40.0
2010-01-18;54.0;55.0;139.0;21.0
2010-01-19;26.0;52.0;92.0;23.0
2010-01-20;10.0;50.0;65.0;40.0
2010-01-21;103.0;80.0;238.0;17.0
2010-01-22;131.0;76.0;276.0;15.0
