fecha;mag007;mag008;mag009;mag010;mag012
2010-02-01;0.0;0.0;0.0;0.0;0.0
2010-02-02;0.0;0.0;0.0;0.0;0.0
2010-02-03;0.0;0.0;0.0;0.0;0.0
2010-02-04;0.0;0.0;0.0;0.0;0.0
2010-02-05;0.0;0.0;0.0;0.0;0.0
2010-02-06;0.0;0.0;0.0;0.0;0.0
2010-02-07;0.0;0.0;0.0;0.0;0.0
2010-02-08;69.0;66.0;13.0;16.0;172.0
2010-02-09;48.0;52.0;9.0;16.0;125.0
2010-02-10;48.0;57.0;9.0;18.0;131.0
2010-02-11;40.0;54.0;10.0;16.0;114.0
2010-02-12;41.0;58.0;13.0;19.0;121.0
2010-02-13;8.0;25.0;10.0;11.0;37.0
2010-02-14;19.0;40.0;10.0;12.0;69.0
2010-02-15;26.0;56.0;11.0;12.0;96.0
2010-02-16;40.0;63.0;9.0;8.0;125.0
2010-02-17;38.0;55.0;11.0;12.0;114.0
2010-02-18;38.0;62.0;11.0;15.0;120.0
2010-02-19;63.0;73.0;13.0;19.0;169.0
2010-02-20;34.0;52.0;10.0;15.0;103.0
2010-02-21;31.0;57.0;10.0;11.0;105.0
2010-02-22;40.0;68.0;11.0;12.0;129.0
2010-02-23;46.0;61.0;10.0;12.0;131.0
2010-02-24;29.0;48.0;10.0;17.0;93.0
2010-02-25;36.0;56.0;11.0;14.0;110.0
2010-02-26;67.0;72.0;14.0;27.0;174.0
2010-02-27;26.0;50.0;11.0;16.0;90.0
2010-02-28;18.0;35.0;9.0;11.0;62.0
2010-03-01;40.0;51.0;10.0;16.0;111.0
2010-03-02;16.0;40.0;8.0;14.0;64.0
2010-03-03;47.0;58.0;11.0;16.0;131.0
2010-03-04;72.0;75.0;15.0;25.0;185.0
2010-03-05;15.0;42.0;9.0;11.0;66.0
2010-03-06;11.0;39.0;6.0;6.0;57.0
2010-03-07;24.0;48.0;10.0;12.0;85.0
2010-03-08;24.0;41.0;9.0;13.0;78.0
2010-03-09;36.0;57.0;12.0;19.0;112.0
2010-03-10;40.0;57.0;13.0;21.0;118.0
2010-03-11;32.0;50.0;14.0;23.0;99.0
2010-03-12;50.0;61.0;14.0;22.0;138.0
2010-03-13;20.0;44.0;13.0;19.0;75.0
2010-03-14;7.0;25.0;7.0;11.0;37.0
2010-03-15;56.0;73.0;14.0;26.0;159.0
2010-03-16;19.0;55.0;11.0;23.0;85.0
2010-03-17;13.0;50.0;13.0;28.0;70.0
2010-03-18;53.0;77.0;23.0;52.0;158.0
2010-03-19;0.0;0.0;0.0;0.0;0.0
2010-03-20;0.0;0.0;0.0;0.0;0.0
2010-03-21;26.0;44.0;41.0;73.0;84.0
2010-03-22;0.0;0.0;0.0;0.0;0.0
2010-03-23;0.0;0.0;0.0;0.0;0.0
2010-03-24;27.0;45.0;24.0;45.0;87.0
2010-03-25;30.0;51.0;11.0;17.0;97.0
2010-03-26;29.0;46.0;9.0;18.0;91.0
2010-03-27;14.0;63.0;10.0;17.0;85.0
2010-03-28;15.0;62.0;12.0;20.0;86.0
2010-03-29;19.0;69.0;13.0;23.0;98.0
2010-03-30;19.0;61.0;9.0;17.0;91.0
2010-03-31;18.0;62.0;9.0;17.0;90.0
2010-04-01;8.0;46.0;7.0;10.0;59.0
2010-04-02;8.0;53.0;9.0;14.0;66.0
2010-04-03;11.0;55.0;9.0;14.0;72.0
2010-04-04;8.0;49.0;7.0;11.0;61.0
2010-04-05;5.0;34.0;8.0;13.0;42.0
2010-04-06;25.0;74.0;13.0;28.0;112.0
2010-04-07;14.0;58.0;11.0;20.0;79.0
2010-04-08;7.0;46.0;8.0;16.0;56.0
2010-04-09;4.0;32.0;10.0;19.0;39.0
2010-04-10;4.0;29.0;10.0;18.0;35.0
2010-04-11;7.0;51.0;10.0;18.0;62.0
2010-04-12;5.0;32.0;13.0;24.0;39.0
2010-04-13;5.0;37.0;9.0;12.0;44.0
2010-04-14;8.0;44.0;7.0;11.0;55.0
2010-04-15;8.0;51.0;11.0;14.0;63.0
2010-04-16;8.0;53.0;11.0;17.0;65.0
2010-04-17;11.0;55.0;9.0;11.0;72.0
2010-04-18;13.0;65.0;10.0;14.0;86.0
2010-04-19;53.0;94.0;14.0;25.0;175.0
2010-04-20;15.0;58.0;11.0;19.0;81.0
2010-04-21;22.0;69.0;14.0;24.0;104.0
2010-04-22;35.0;87.0;12.0;23.0;140.0
2010-04-23;39.0;82.0;14.0;25.0;142.0
2010-04-24;22.0;73.0;13.0;21.0;106.0
2010-04-25;15.0;68.0;13.0;21.0;91.0
2010-04-26;16.0;79.0;13.0;24.0;103.0
2010-04-27;18.0;91.0;15.0;28.0;117.0
2010-04-28;10.0;44.0;14.0;28.0;60.0
