fecha;mag006;mag007;mag008;mag009;mag010;mag012;mag014
2010-01-01;0.0;0.0;0.0;;;0.0;0.0
2010-01-02;0.0;0.0;0.0;;;0.0;0.0
2010-01-03;0.0;0.0;0.0;;;0.0;0.0
2010-01-04;0.0;0.0;0.0;;;0.0;0.0
2010-01-05;0.0;0.0;0.0;;;0.0;0.0
2010-01-06;0.0;0.0;0.0;;;0.0;0.0
2010-01-07;0.0;0.0;0.0;;;0.0;0.0
2010-01-08;0.0;0.0;0.0;;;0.0;0.0
2010-01-09;0.0;0.0;0.0;;;0.0;0.0
2010-01-10;0.0;0.0;0.0;;;0.0;0.0
2010-01-11;0.0;0.0;0.0;;;0.0;0.0
2010-01-12;0.0;0.0;0.0;;;0.0;0.0
2010-01-13;0.0;0.0;0.0;;;0.0;0.0
2010-01-14;0.0;0.0;0.0;;;0.0;0.0
2010-01-15;0.0;0.0;0.0;;;0.0;0.0
2010-01-16;0.0;0.0;0.0;;;0.0;0.0
2010-01-17;0.0;0.0;0.0;;;0.0;0.0
2010-01-18;0.0;0.0;0.0;;;0.0;0.0
2010-01-19;0.4;48.0;82.0;;;156.0;12.0
2010-01-20;0.3;21.0;64.0;;;97.0;33.0
2010-01-21;0.8;159.0;127.0;;;371.0;9.0
2010-01-22;0.8;179.0;120.0;;;394.0;8.0
2010-01-23;0.5;75.0;93.0;;;209.0;22.0
2010-01-24;0.4;29.0;82.0;;;126.0;25.0
2010-01-25;0.4;34.0;68.0;;;121.0;37.0
2010-01-26;0.4;38.0;72.0;;;129.0;38.0
2010-01-27;0.5;46.0;83.0;;;153.0;26.0
2010-01-28;0.7;101.0;116.0;;;272.0;17.0
2010-01-29;0.6;116.0;102.0;;;279.0;29.0
2010-01-30;0.3;9.0;39.0;;;52.0;63.0
2010-01-31;0.3;7.0;43.0;;;54.0;58.0
2010-02-01;0.5;71.0;97.0;;;206.0;37.0
2010-02-02;0.7;115.0;118.0;;;294.0;17.0
2010-02-03;0.7;123.0;125.0;;;313.0;14.0
2010-02-04;0.6;86.0;106.0;;;238.0;12.0
2010-02-05;0.3;10.0;44.0;;;59.0;56.0
2010-02-06;0.3;27.0;56.0;;;97.0;50.0
2010-02-07;0.5;73.0;92.0;;;203.0;18.0
2010-02-08;0.4;42.0;74.0;;;137.0;24.0
2010-02-09;0.4;21.0;58.0;;;90.0;53.0
2010-02-10;0.5;56.0;85.0;;;171.0;29.0
2010-02-11;0.4;30.0;76.0;;;122.0;44.0
2010-02-12;0.5;38.0;98.0;;;157.0;38.0
2010-02-13;0.4;24.0;72.0;;;108.0;54.0
2010-02-14;0.5;35.0;77.0;;;131.0;45.0
2010-02-15;0.6;65.0;110.0;;;209.0;20.0
2010-02-16;0.7;100.0;121.0;;;274.0;19.0
2010-02-17;0.3;14.0;57.0;;;79.0;51.0
2010-02-18;0.5;51.0;99.0;;;177.0;33.0
2010-02-19;0.4;21.0;75.0;;;107.0;38.0
2010-02-20;0.3;15.0;51.0;;;74.0;61.0
2010-02-21;0.5;43.0;90.0;;;156.0;28.0
2010-02-22;0.3;19.0;66.0;;;95.0;51.0
2010-02-23;0.3;19.0;61.0;;;89.0;54.0
2010-02-24;0.3;8.0;36.0;;;49.0;72.0
2010-02-25;0.3;24.0;62.0;;;98.0;49.0
2010-02-26;0.4;44.0;69.0;;;136.0;52.0
2010-02-27;0.4;34.0;67.0;;;119.0;34.0
2010-02-28;0.3;12.0;40.0;;;58.0;77.0
2010-03-01;0.3;23.0;51.0;;;86.0;66.0
2010-03-02;0.4;33.0;77.0;;;127.0;40.0
2010-03-03;0.4;27.0;70.0;;;112.0;45.0
2010-03-04;0.5;74.0;86.0;;;200.0;33.0
2010-03-05;0.4;36.0;85.0;;;139.0;31.0
2010-03-06;0.5;30.0;86.0;;;132.0;38.0
2010-03-07;0.4;16.0;69.0;;;93.0;40.0
2010-03-08;0.4;20.0;61.0;;;92.0;63.0
2010-03-09;0.5;38.0;83.0;;;142.0;49.0
2010-03-10;0.4;31.0;85.0;;;132.0;49.0
2010-03-11;0.5;43.0;96.0;;;162.0;38.0
2010-03-12;0.5;28.0;81.0;;;124.0;37.0
2010-03-13;0.5;45.0;96.0;;;165.0;35.0
2010-03-14;0.4;21.0;72.0;;;104.0;54.0
2010-03-15;0.7;97.0;128.0;;;276.0;20.0
2010-03-16;0.6;77.0;114.0;;;232.0;29.0
2010-03-17;0.5;68.0;107.0;;;211.0;43.0
2010-03-18;0.5;69.0;116.0;;;222.0;33.0
2010-03-19;0.5;62.0;89.0;;;184.0;24.0
2010-03-20;0.4;47.0;68.0;;;139.0;33.0
2010-03-21;0.4;27.0;63.0;;;104.0;28.0
2010-03-22;0.4;52.0;76.0;;;156.0;35.0
2010-03-23;0.5;71.0;93.0;;;201.0;29.0
2010-03-24;0.3;22.0;57.0;;;90.0;49.0
2010-03-25;0.3;17.0;53.0;;;80.0;68.0
2010-03-26;0.3;10.0;33.0;;;48.0;77.0
2010-03-27;0.3;16.0;43.0;;;68.0;71.0
2010-03-28;0.4;29.0;76.0;;;121.0;46.0
2010-03-29;0.4;39.0;67.0;;;127.0;53.0
2010-03-30;0.3;9.0;33.0;;;46.0;76.0
2010-03-31;0.3;7.0;31.0;;;42.0;85.0
2010-04-01;0.3;8.0;30.0;;;42.0;87.0
2010-04-02;0.3;15.0;51.0;;;74.0;68.0
2010-04-03;0.3;7.0;41.0;;;53.0;65.0
2010-04-04;0.3;11.0;44.0;;;61.0;73.0
2010-04-05;0.3;22.0;67.0;;;100.0;61.0
2010-04-06;0.4;26.0;69.0;;;109.0;61.0
2010-04-07;0.3;14.0;56.0;;;77.0;81.0
2010-04-08;0.4;24.0;72.0;;;108.0;65.0
2010-04-09;0.3;21.0;67.0;;;99.0;79.0
2010-04-10;0.3;13.0;69.0;;;90.0;75.0
2010-04-11;0.3;14.0;71.0;;;93.0;78.0
2010-04-12;0.4;18.0;76.0;;;103.0;76.0
2010-04-13;0.4;23.0;76.0;;;111.0;62.0
2010-04-14;0.5;41.0;88.0;;;152.0;37.0
2010-04-15;0.4;32.0;89.0;;;137.0;45.0
2010-04-16;0.4;27.0;84.0;;;125.0;45.0
2010-04-17;0.3;18.0;74.0;;;102.0;58.0
2010-04-18;0.3;14.0;63.0;;;85.0;58.0
2010-04-19;0.4;42.0;69.0;;;134.0;52.0
2010-04-20;0.5;53.0;88.0;;;169.0;38.0
2010-04-21;0.4;32.0;88.0;;;137.0;38.0
2010-04-22;0.3;15.0;47.0;;;71.0;68.0
2010-04-23;0.4;38.0;77.0;;;135.0;51.0
2010-04-24;0.4;34.0;64.0;;;117.0;43.0
2010-04-25;0.4;49.0;79.0;;;154.0;47.0
2010-04-26;0.4;52.0;85.0;;;166.0;46.0
2010-04-27;0.4;30.0;98.0;;;143.0;44.0
2010-04-28;0.3;21.0;81.0;;;114.0;68.0
2010-04-29;0.3;15.0;60.0;;;82.0;71.0
2010-04-30;0.4;22.0;72.0;;;106.0;52.0
2010-05-01;0.3;7.0;36.0;;;48.0;77.0
2010-05-02;0.3;9.0;42.0;;;56.0;67.0
2010-05-03;0.3;14.0;39.0;;;60.0;71.0
2010-05-04;0.3;13.0;42.0;;;61.0;82.0
2010-05-05;0.3;13.0;52.0;;;72.0;82.0
2010-05-06;0.3;22.0;68.0;;;101.0;63.0
2010-05-07;0.3;19.0;63.0;;;92.0;57.0
2010-05-08;0.3;11.0;36.0;;;53.0;49.0
2010-05-09;0.2;9.0;32.0;;;46.0;59.0
2010-05-10;0.2;11.0;35.0;;;52.0;69.0
2010-05-11;0.3;26.0;60.0;;;100.0;60.0
2010-05-12;0.3;9.0;32.0;;;45.0;77.0
2010-05-13;0.3;17.0;52.0;;;78.0;63.0
2010-05-14;0.3;14.0;47.0;;;69.0;66.0
2010-05-15;0.2;8.0;33.0;;;44.0;78.0
2010-05-16;0.3;12.0;48.0;;;67.0;66.0
2010-05-17;0.3;28.0;70.0;;;112.0;50.0
2010-05-18;0.3;22.0;78.0;;;111.0;59.0
2010-05-19;0.3;22.0;63.0;;;97.0;56.0
2010-05-20;0.4;35.0;72.0;;;125.0;74.0
2010-05-21;0.5;47.0;97.0;;;170.0;43.0
2010-05-22;0.4;35.0;89.0;;;143.0;51.0
2010-05-23;0.3;13.0;52.0;;;72.0;75.0
2010-05-24;0.3;10.0;52.0;;;67.0;70.0
2010-05-25;0.2;8.0;37.0;;;49.0;64.0
2010-05-26;0.2;8.0;36.0;;;49.0;62.0
2010-05-27;0.3;20.0;62.0;;;93.0;42.0
2010-05-28;0.3;18.0;62.0;;;90.0;42.0
2010-05-29;0.3;18.0;53.0;;;80.0;45.0
2010-05-30;0.3;15.0;57.0;;;80.0;41.0
2010-05-31;0.3;24.0;61.0;;;98.0;31.0
2010-06-01;0.3;23.0;50.0;;;85.0;37.0
2010-06-02;0.3;27.0;57.0;;;99.0;39.0
2010-06-03;0.3;11.0;44.0;;;61.0;54.0
2010-06-04;0.4;29.0;68.0;;;112.0;51.0
2010-06-05;0.3;21.0;58.0;;;90.0;47.0
2010-06-06;0.3;14.0;45.0;;;67.0;54.0
2010-06-07;0.2;12.0;36.0;;;54.0;58.0
2010-06-08;0.2;12.0;29.0;;;47.0;52.0
2010-06-09;0.3;20.0;41.0;;;72.0;33.0
2010-06-10;0.2;17.0;30.0;;;56.0;42.0
2010-06-11;0.2;11.0;27.0;;;44.0;47.0
2010-06-12;0.3;20.0;44.0;;;75.0;31.0
2010-06-13;0.3;19.0;43.0;;;73.0;40.0
2010-06-14;0.3;31.0;56.0;;;103.0;30.0
2010-06-15;0.3;21.0;40.0;;;72.0;40.0
2010-06-16;0.3;36.0;58.0;;;113.0;32.0
2010-06-17;0.4;35.0;74.0;;;126.0;39.0
2010-06-18;0.4;34.0;74.0;;;126.0;37.0
2010-06-19;0.3;10.0;41.0;;;56.0;62.0
2010-06-20;0.2;10.0;34.0;;;50.0;56.0
2010-06-21;0.3;34.0;56.0;;;108.0;49.0
2010-06-22;0.4;35.0;70.0;;;124.0;34.0
2010-06-23;0.4;52.0;76.0;;;155.0;41.0
2010-06-24;0.4;46.0;78.0;;;148.0;54.0
2010-06-25;0.3;30.0;64.0;;;109.0;55.0
2010-06-26;0.3;16.0;49.0;;;73.0;60.0
2010-06-27;0.3;14.0;52.0;;;74.0;51.0
2010-06-28;0.3;21.0;63.0;;;95.0;51.0
2010-06-29;0.3;18.0;58.0;;;87.0;61.0
2010-06-30;0.4;41.0;81.0;;;144.0;53.0
2010-07-01;0.4;35.0;85.0;;;138.0;46.0
2010-07-02;0.5;43.0;99.0;;;165.0;31.0
2010-07-03;0.3;11.0;52.0;;;69.0;57.0
2010-07-04;0.3;31.0;68.0;;;115.0;49.0
2010-07-05;0.3;24.0;71.0;;;108.0;51.0
2010-07-06;0.3;52.0;70.0;;;150.0;59.0
2010-07-07;0.4;31.0;82.0;;;130.0;49.0
2010-07-08;0.4;61.0;94.0;;;188.0;26.0
2010-07-09;0.3;39.0;73.0;;;133.0;59.0
2010-07-10;0.4;55.0;78.0;;;161.0;57.0
2010-07-11;0.3;29.0;62.0;;;107.0;57.0
2010-07-12;0.3;18.0;58.0;;;86.0;48.0
2010-07-13;0.3;23.0;50.0;;;85.0;53.0
2010-07-14;0.2;12.0;38.0;;;57.0;59.0
2010-07-15;0.3;35.0;63.0;;;117.0;47.0
2010-07-16;0.4;45.0;79.0;;;148.0;43.0
2010-07-17;0.4;51.0;70.0;;;148.0;51.0
2010-07-18;0.3;46.0;56.0;;;126.0;51.0
2010-07-19;0.4;54.0;86.0;;;169.0;47.0
2010-07-20;0.3;25.0;55.0;;;93.0;68.0
2010-07-21;0.2;15.0;38.0;;;61.0;59.0
2010-07-22;0.2;21.0;42.0;;;74.0;49.0
2010-07-23;0.3;25.0;54.0;;;92.0;55.0
2010-07-24;0.2;10.0;39.0;;;55.0;66.0
2010-07-25;0.2;8.0;33.0;;;46.0;64.0
2010-07-26;0.3;19.0;49.0;;;78.0;54.0
2010-07-27;0.3;47.0;65.0;;;137.0;55.0
2010-07-28;0.4;24.0;76.0;;;112.0;49.0
2010-07-29;0.3;26.0;67.0;;;107.0;51.0
2010-07-30;0.3;35.0;62.0;;;116.0;49.0
2010-07-31;0.3;41.0;70.0;;;133.0;48.0
2010-08-01;0.3;15.0;49.0;;;72.0;59.0
2010-08-02;0.3;33.0;65.0;;;115.0;48.0
2010-08-03;0.3;18.0;47.0;;;75.0;52.0
2010-08-04;0.3;15.0;44.0;;;67.0;52.0
2010-08-05;0.3;18.0;49.0;;;76.0;49.0
2010-08-06;0.4;43.0;68.0;;;133.0;55.0
2010-08-07;0.4;40.0;65.0;;;125.0;47.0
2010-08-08;0.4;40.0;73.0;;;135.0;36.0
2010-08-09;0.3;22.0;61.0;;;95.0;41.0
2010-08-10;0.0;0.0;0.0;;;0.0;0.0
2010-08-11;0.0;0.0;0.0;;;0.0;0.0
2010-08-12;0.0;0.0;0.0;;;0.0;0.0
2010-08-13;0.0;0.0;0.0;;;0.0;0.0
2010-08-14;0.0;0.0;0.0;;;0.0;0.0
2010-08-15;0.0;0.0;0.0;;;0.0;0.0
2010-08-16;0.0;0.0;0.0;;;0.0;0.0
2010-08-17;0.3;12.0;47.0;;;66.0;41.0
2010-08-18;0.3;19.0;58.0;;;87.0;56.0
2010-08-19;0.3;24.0;64.0;;;101.0;40.0
2010-08-20;0.4;53.0;73.0;;;154.0;36.0
2010-08-21;0.4;41.0;73.0;;;136.0;42.0
2010-08-22;0.3;17.0;48.0;;;75.0;55.0
2010-08-23;0.2;20.0;39.0;;;69.0;47.0
2010-08-24;0.2;16.0;36.0;;;61.0;46.0
2010-08-25;0.5;64.0;83.0;;;181.0;35.0
2010-08-26;0.4;63.0;77.0;;;173.0;34.0
2010-08-27;0.3;20.0;44.0;;;75.0;46.0
2010-08-28;0.3;24.0;61.0;;;98.0;53.0
2010-08-29;0.3;15.0;38.0;;;61.0;61.0
2010-08-30;0.3;24.0;71.0;;;109.0;49.0
2010-08-31;0.5;58.0;76.0;;;165.0;43.0
2010-09-01;0.3;19.0;50.0;;;79.0;36.0
2010-09-02;0.3;24.0;66.0;;;103.0;30.0
