fecha;mag007;mag008;mag009;mag010;mag012
2009-12-01;0.0;0.0;0.0;0.0;0.0
2009-12-02;0.0;0.0;0.0;0.0;0.0
2009-12-03;0.0;0.0;0.0;0.0;0.0
2009-12-04;0.0;0.0;0.0;0.0;0.0
2009-12-05;0.0;0.0;0.0;0.0;0.0
2009-12-06;0.0;0.0;0.0;0.0;0.0
2009-12-07;0.0;0.0;0.0;0.0;0.0
2009-12-08;0.0;0.0;0.0;0.0;0.0
2009-12-09;0.0;0.0;0.0;0.0;0.0
2009-12-10;0.0;0.0;0.0;0.0;0.0
2009-12-11;0.0;0.0;0.0;0.0;0.0
2009-12-12;0.0;0.0;0.0;0.0;0.0
2009-12-13;0.0;0.0;0.0;0.0;0.0
2009-12-14;0.0;0.0;0.0;0.0;0.0
2009-12-15;0.0;0.0;0.0;0.0;0.0
2009-12-16;0.0;0.0;0.0;0.0;0.0
2009-12-17;0.0;0.0;0.0;0.0;0.0
2009-12-18;0.0;0.0;0.0;0.0;0.0
2009-12-19;0.0;0.0;0.0;0.0;0.0
2009-12-20;0.0;0.0;0.0;0.0;0.0
2009-12-21;104.0;88.0;19.0;26.0;248.0
2009-12-22;61.0;70.0;12.0;16.0;163.0
2009-12-23;5.0;43.0;6.0;9.0;51.0
2009-12-24;2.0;32.0;6.0;8.0;35.0
2009-12-25;4.0;40.0;7.0;10.0;46.0
2009-12-26;19.0;48.0;10.0;13.0;77.0
2009-12-27;44.0;59.0;13.0;18.0;126.0
2009-12-28;81.0;68.0;19.0;23.0;192.0
2009-12-29;16.0;45.0;7.0;10.0;70.0
2009-12-30;3.0;37.0;6.0;10.0;42.0
2009-12-31;2.0;32.0;5.0;7.0;35.0
2010-01-01;2.0;24.0;8.0;11.0;26.0
2010-01-02;16.0;44.0;11.0;17.0;68.0
2010-01-03;40.0;55.0;13.0;20.0;116.0
2010-01-04;29.0;59.0;11.0;13.0;104.0
2010-01-05;18.0;51.0;9.0;14.0;78.0
2010-01-06;4.0;32.0;8.0;12.0;38.0
2010-01-07;7.0;51.0;7.0;9.0;61.0
2010-01-08;3.0;42.0;7.0;15.0;46.0
2010-01-09;2.0;31.0;7.0;10.0;33.0
2010-01-10;10.0;51.0;10.0;17.0;67.0
2010-01-11;25.0;74.0;12.0;19.0;112.0
2010-01-12;68.0;74.0;13.0;17.0;178.0
2010-01-13;43.0;66.0;11.0;16.0;133.0
2010-01-14;2.0;28.0;6.0;11.0;31.0
2010-01-15;60.0;74.0;16.0;30.0;165.0
2010-01-16;32.0;56.0;13.0;21.0;105.0
2010-01-17;48.0;45.0;13.0;18.0;119.0
2010-01-18;62.0;55.0;18.0;27.0;150.0
2010-01-19;31.0;50.0;12.0;17.0;98.0
2010-01-20;4.0;40.0;7.0;11.0;47.0
2010-01-21;98.0;76.0;20.0;40.0;227.0
2010-01-22;148.0;78.0;30.0;54.0;305.0
2010-01-23;57.0;64.0;17.0;27.0;151.0
2010-01-24;6.0;48.0;10.0;15.0;57.0
2010-01-25;7.0;43.0;5.0;14.0;54.0
2010-01-26;7.0;50.0;7.0;17.0;61.0
2010-01-27;7.0;55.0;10.0;22.0;66.0
2010-01-28;50.0;76.0;15.0;30.0;154.0
2010-01-29;81.0;70.0;15.0;37.0;194.0
2010-01-30;2.0;30.0;5.0;18.0;32.0
2010-01-31;2.0;29.0;6.0;8.0;31.0
2010-02-01;18.0;58.0;8.0;18.0;86.0
2010-02-02;54.0;69.0;14.0;29.0;152.0
2010-02-03;76.0;79.0;18.0;40.0;196.0
2010-02-04;44.0;69.0;18.0;29.0;136.0
2010-02-05;2.0;33.0;6.0;13.0;36.0
2010-02-06;3.0;37.0;7.0;14.0;42.0
2010-02-07;42.0;59.0;14.0;25.0;123.0
2010-02-08;23.0;55.0;9.0;16.0;90.0
2010-02-09;5.0;45.0;8.0;33.0;52.0
2010-02-10;23.0;52.0;9.0;19.0;86.0
2010-02-11;6.0;49.0;8.0;22.0;58.0
2010-02-12;12.0;59.0;12.0;24.0;78.0
2010-02-13;2.0;39.0;10.0;15.0;43.0
2010-02-14;4.0;42.0;9.0;13.0;48.0
2010-02-15;25.0;72.0;13.0;21.0;110.0
2010-02-16;45.0;72.0;11.0;13.0;141.0
2010-02-17;4.0;43.0;7.0;10.0;50.0
2010-02-18;15.0;66.0;11.0;22.0;89.0
